dispatch_id,order_id,dispatch_date,days_late,delay_reason
DSP-2023-00064,SO-2023-00064,2023-02-12,3,Material shortage
DSP-2023-00065,SO-2023-00065,2023-01-29,-2,
DSP-2023-00066,SO-2023-00066,2023-01-23,-1,
DSP-2023-00067,SO-2023-00067,2023-02-20,-1,
DSP-2023-00068,SO-2023-00068,2023-01-10,-2,
DSP-2023-00069,SO-2023-00069,2023-02-10,1,Packaging delay
DSP-2023-00070,SO-2023-00070,2023-02-04,-1,
DSP-2023-00071,SO-2023-00071,2023-02-02,-1,
DSP-2023-00072,SO-2023-00072,2023-02-15,5,Logistics scheduling
DSP-2023-00073,SO-2023-00073,2023-01-28,0,
DSP-2023-00074,SO-2023-00074,2023-01-16,-2,
DSP-2023-00075,SO-2023-00075,2023-01-28,-2,
DSP-2023-00076,SO-2023-00076,2023-02-05,0,
DSP-2023-00077,SO-2023-00077,2023-02-15,0,
DSP-2023-00078,SO-2023-00078,2023-02-14,0,
DSP-2023-00079,SO-2023-00079,2023-02-09,-1,
DSP-2023-00080,SO-2023-00080,2023-01-10,-1,
DSP-2023-00081,SO-2023-00081,2023-01-23,4,Customer reschedule
DSP-2023-00082,SO-2023-00082,2023-02-04,-1,
DSP-2023-00083,SO-2023-00083,2023-01-23,-2,
DSP-2023-00084,SO-2023-00084,2023-01-10,0,
DSP-2023-00085,SO-2023-00085,2023-02-19,0,
DSP-2023-00086,SO-2023-00086,2023-02-14,2,Logistics scheduling
DSP-2023-00087,SO-2023-00087,2023-02-01,0,
DSP-2023-00088,SO-2023-00088,2023-01-25,1,Production backlog
DSP-2023-00089,SO-2023-00089,2023-01-28,-2,
DSP-2023-00090,SO-2023-00090,2023-01-31,-2,
DSP-2023-00091,SO-2023-00091,2023-01-28,-1,
DSP-2023-00092,SO-2023-00092,2023-02-12,-2,
DSP-2023-00093,SO-2023-00093,2023-02-06,6,Production backlog
DSP-2023-00094,SO-2023-00094,2023-01-20,-1,
DSP-2023-00095,SO-2023-00095,2023-01-10,0,
DSP-2023-00096,SO-2023-00096,2023-02-09,-1,
DSP-2023-00097,SO-2023-00097,2023-01-09,0,
DSP-2023-00098,SO-2023-00098,2023-01-25,-1,
DSP-2023-00099,SO-2023-00099,2023-02-16,0,
DSP-2023-00100,SO-2023-00100,2023-02-10,-1,
DSP-2023-00101,SO-2023-00101,2023-02-14,0,
DSP-2023-00102,SO-2023-00102,2023-02-01,-1,
DSP-2023-00103,SO-2023-00103,2023-02-16,-1,
DSP-2023-00104,SO-2023-00104,2023-02-05,0,
DSP-2023-00105,SO-2023-00105,2023-02-16,-1,
DSP-2023-00106,SO-2023-00106,2023-01-06,-2,
DSP-2023-00107,SO-2023-00107,2023-02-06,4,Customer reschedule
DSP-2023-00108,SO-2023-00108,2023-02-08,-1,
DSP-2023-00109,SO-2023-00109,2023-02-09,2,Production backlog
DSP-2023-00110,SO-2023-00110,2023-02-06,-2,
DSP-2023-00111,SO-2023-00111,2023-02-06,0,
DSP-2023-00112,SO-2023-00112,2023-02-06,-2,
DSP-2023-00113,SO-2023-00113,2023-01-26,0,
DSP-2023-00114,SO-2023-00114,2023-02-06,-2,
DSP-2023-00115,SO-2023-00115,2023-01-20,-2,
DSP-2023-00116,SO-2023-00116,2023-01-29,-2,
DSP-2023-00117,SO-2023-00117,2023-01-21,-2,
DSP-2023-00118,SO-2023-00118,2023-02-01,0,
DSP-2023-00119,SO-2023-00119,2023-02-11,0,
DSP-2023-00120,SO-2023-00120,2023-02-27,6,Customer reschedule
DSP-2023-00121,SO-2023-00121,2023-01-15,-2,
DSP-2023-00122,SO-2023-00122,2023-01-18,-2,
DSP-2023-00123,SO-2023-00123,2023-02-07,-2,
DSP-2023-00124,SO-2023-00124,2023-02-06,0,
DSP-2023-00125,SO-2023-00125,2023-02-01,0,
DSP-2023-00126,SO-2023-00126,2023-02-26,0,
DSP-2023-00127,SO-2023-00127,2023-02-19,-2,
DSP-2023-00128,SO-2023-00128,2023-03-09,4,Packaging delay
DSP-2023-00129,SO-2023-00129,2023-03-08,-2,
DSP-2023-00130,SO-2023-00130,2023-03-08,4,Packaging delay
DSP-2023-00131,SO-2023-00131,2023-02-26,-2,
DSP-2023-00132,SO-2023-00132,2023-03-03,-1,
DSP-2023-00133,SO-2023-00133,2023-02-23,-2,
DSP-2023-00134,SO-2023-00134,2023-03-08,-1,
DSP-2023-00135,SO-2023-00135,2023-03-11,0,
DSP-2023-00136,SO-2023-00136,2023-03-13,1,QC hold
DSP-2023-00137,SO-2023-00137,2023-02-28,0,
DSP-2023-00138,SO-2023-00138,2023-03-05,-1,
DSP-2023-00139,SO-2023-00139,2023-03-09,0,
DSP-2023-00140,SO-2023-00140,2023-02-26,0,
DSP-2023-00141,SO-2023-00141,2023-02-28,-1,
DSP-2023-00142,SO-2023-00142,2023-02-20,0,
DSP-2023-00143,SO-2023-00143,2023-03-01,-2,
DSP-2023-00144,SO-2023-00144,2023-02-19,-2,
DSP-2023-00145,SO-2023-00145,2023-03-11,-1,
DSP-2023-00146,SO-2023-00146,2023-03-04,-1,
DSP-2023-00147,SO-2023-00147,2023-03-11,-2,
DSP-2023-00148,SO-2023-00148,2023-03-07,-2,
DSP-2023-00149,SO-2023-00149,2023-02-15,-1,
DSP-2023-00150,SO-2023-00150,2023-03-22,-1,
DSP-2023-00151,SO-2023-00151,2023-02-18,0,
DSP-2023-00152,SO-2023-00152,2023-03-04,0,
DSP-2023-00153,SO-2023-00153,2023-03-01,7,Packaging delay
DSP-2023-00154,SO-2023-00154,2023-02-18,0,
DSP-2023-00155,SO-2023-00155,2023-03-02,0,
DSP-2023-00156,SO-2023-00156,2023-03-07,-2,
DSP-2023-00157,SO-2023-00157,2023-03-05,0,
DSP-2023-00158,SO-2023-00158,2023-02-11,-2,
DSP-2023-00159,SO-2023-00159,2023-03-13,-1,
DSP-2023-00160,SO-2023-00160,2023-02-21,-1,
DSP-2023-00161,SO-2023-00161,2023-02-12,-2,
DSP-2023-00162,SO-2023-00162,2023-03-10,-2,
DSP-2023-00163,SO-2023-00163,2023-03-09,-1,
DSP-2023-00164,SO-2023-00164,2023-03-13,0,
DSP-2023-00165,SO-2023-00165,2023-02-21,-1,
DSP-2023-00166,SO-2023-00166,2023-03-18,1,Production backlog
DSP-2023-00167,SO-2023-00167,2023-02-18,-2,
DSP-2023-00168,SO-2023-00168,2023-02-20,-1,
DSP-2023-00169,SO-2023-00169,2023-02-15,0,
DSP-2023-00170,SO-2023-00170,2023-03-09,1,Material shortage
DSP-2023-00171,SO-2023-00171,2023-02-22,0,
DSP-2023-00172,SO-2023-00172,2023-03-01,-2,
DSP-2023-00173,SO-2023-00173,2023-02-28,-1,
DSP-2023-00174,SO-2023-00174,2023-02-19,0,
DSP-2023-00175,SO-2023-00175,2023-03-15,0,
DSP-2023-00176,SO-2023-00176,2023-03-09,4,Production backlog
DSP-2023-00177,SO-2023-00177,2023-02-28,-2,
DSP-2023-00178,SO-2023-00178,2023-03-13,-2,
DSP-2023-00179,SO-2023-00179,2023-02-25,-2,
DSP-2023-00180,SO-2023-00180,2023-03-15,0,
DSP-2023-00181,SO-2023-00181,2023-03-27,11,Logistics scheduling
DSP-2023-00182,SO-2023-00182,2023-03-04,2,Packaging delay
DSP-2023-00183,SO-2023-00183,2023-03-05,-1,
DSP-2023-00184,SO-2023-00184,2023-03-04,-2,
DSP-2023-00185,SO-2023-00185,2023-03-20,-2,
DSP-2023-00186,SO-2023-00186,2023-03-04,0,
DSP-2023-00187,SO-2023-00187,2023-03-01,0,
DSP-2023-00188,SO-2023-00188,2023-02-26,0,
DSP-2023-00189,SO-2023-00189,2023-03-04,-1,
DSP-2023-00190,SO-2023-00190,2023-02-23,-1,
DSP-2023-00191,SO-2023-00191,2023-02-15,-2,
DSP-2023-00192,SO-2023-00192,2023-03-08,-2,
DSP-2023-00193,SO-2023-00193,2023-03-04,-2,
DSP-2023-00194,SO-2023-00194,2023-03-12,5,Production backlog
DSP-2023-00195,SO-2023-00195,2023-02-20,-2,
DSP-2023-00196,SO-2023-00196,2023-03-05,0,
DSP-2023-00197,SO-2023-00197,2023-03-10,2,Material shortage
DSP-2023-00198,SO-2023-00198,2023-03-13,-1,
DSP-2023-00199,SO-2023-00199,2023-02-17,-2,
DSP-2023-00200,SO-2023-00200,2023-02-17,-1,
DSP-2023-00201,SO-2023-00201,2023-03-03,0,
DSP-2023-00202,SO-2023-00202,2023-02-20,-1,
DSP-2023-00203,SO-2023-00203,2023-03-08,-1,
DSP-2023-00204,SO-2023-00204,2023-03-08,0,
DSP-2023-00205,SO-2023-00205,2023-03-02,-1,
DSP-2023-00206,SO-2023-00206,2023-02-24,0,
DSP-2023-00207,SO-2023-00207,2023-03-01,-1,
DSP-2023-00208,SO-2023-00208,2023-03-25,4,Production backlog
DSP-2023-00209,SO-2023-00209,2023-02-24,0,
DSP-2023-00210,SO-2023-00210,2023-02-12,0,
DSP-2023-00211,SO-2023-00211,2023-03-03,0,
DSP-2023-00212,SO-2023-00212,2023-02-25,-2,
DSP-2023-00213,SO-2023-00213,2023-02-27,0,
DSP-2023-00214,SO-2023-00214,2023-03-05,-2,
DSP-2023-00215,SO-2023-00215,2023-02-22,-1,
DSP-2023-00216,SO-2023-00216,2023-03-15,-2,
DSP-2023-00217,SO-2023-00217,2023-03-18,-2,
DSP-2023-00218,SO-2023-00218,2023-02-25,1,Production backlog
DSP-2023-00219,SO-2023-00219,2023-03-03,-1,
DSP-2023-00220,SO-2023-00220,2023-03-04,8,Material shortage
DSP-2023-00221,SO-2023-00221,2023-03-12,-1,
DSP-2023-00222,SO-2023-00222,2023-03-14,-2,
DSP-2023-00223,SO-2023-00223,2023-02-25,-2,
DSP-2023-00224,SO-2023-00224,2023-03-19,-1,
DSP-2023-00225,SO-2023-00225,2023-03-03,-2,
DSP-2023-00226,SO-2023-00226,2023-02-19,-1,
DSP-2023-00227,SO-2023-00227,2023-03-19,1,Material shortage
DSP-2023-00228,SO-2023-00228,2023-03-03,-2,
DSP-2023-00229,SO-2023-00229,2023-03-19,0,
DSP-2023-00230,SO-2023-00230,2023-02-10,-1,
DSP-2023-00231,SO-2023-00231,2023-02-20,5,Logistics scheduling
DSP-2023-00232,SO-2023-00232,2023-03-09,-2,
DSP-2023-00233,SO-2023-00233,2023-02-12,0,
DSP-2023-00234,SO-2023-00234,2023-03-03,-1,
DSP-2023-00235,SO-2023-00235,2023-02-21,-1,
DSP-2023-00236,SO-2023-00236,2023-02-22,1,Production backlog
DSP-2023-00237,SO-2023-00237,2023-03-03,-2,
DSP-2023-00238,SO-2023-00238,2023-03-01,-1,
DSP-2023-00239,SO-2023-00239,2023-03-04,4,Packaging delay
DSP-2023-00240,SO-2023-00240,2023-03-09,-2,
DSP-2023-00241,SO-2023-00241,2023-02-08,0,
DSP-2023-00242,SO-2023-00242,2023-02-19,-1,
DSP-2023-00243,SO-2023-00243,2023-02-21,-2,
DSP-2023-00244,SO-2023-00244,2023-03-09,-1,
DSP-2023-00245,SO-2023-00245,2023-03-04,-1,
DSP-2023-00246,SO-2023-00246,2023-03-19,5,Logistics scheduling
DSP-2023-00247,SO-2023-00247,2023-03-02,0,
DSP-2023-00248,SO-2023-00248,2023-02-14,0,
DSP-2023-00249,SO-2023-00249,2023-02-17,0,
DSP-2023-00250,SO-2023-00250,2023-03-17,-2,
DSP-2023-00251,SO-2023-00251,2023-02-21,-1,
DSP-2023-00252,SO-2023-00252,2023-03-19,0,
DSP-2023-00253,SO-2023-00253,2023-02-25,0,
DSP-2023-00254,SO-2023-00254,2023-03-15,4,Customer reschedule
DSP-2023-00255,SO-2023-00255,2023-03-01,1,Material shortage
DSP-2023-00256,SO-2023-00256,2023-03-16,2,Logistics scheduling
DSP-2023-00257,SO-2023-00257,2023-03-01,0,
DSP-2023-00258,SO-2023-00258,2023-03-11,0,
DSP-2023-00259,SO-2023-00259,2023-04-13,-1,
DSP-2023-00260,SO-2023-00260,2023-03-29,0,
DSP-2023-00261,SO-2023-00261,2023-03-22,3,Customer reschedule
DSP-2023-00262,SO-2023-00262,2023-03-22,-1,
DSP-2023-00263,SO-2023-00263,2023-04-12,1,Logistics scheduling
DSP-2023-00264,SO-2023-00264,2023-04-02,-2,
DSP-2023-00265,SO-2023-00265,2023-03-21,0,
DSP-2023-00266,SO-2023-00266,2023-04-05,0,
DSP-2023-00267,SO-2023-00267,2023-03-30,-2,
DSP-2023-00268,SO-2023-00268,2023-03-20,-2,
DSP-2023-00269,SO-2023-00269,2023-03-15,0,
DSP-2023-00270,SO-2023-00270,2023-03-17,2,Customer reschedule
DSP-2023-00271,SO-2023-00271,2023-03-23,-2,
DSP-2023-00272,SO-2023-00272,2023-04-09,-2,
DSP-2023-00273,SO-2023-00273,2023-03-29,-2,
DSP-2023-00274,SO-2023-00274,2023-04-01,-1,
DSP-2023-00275,SO-2023-00275,2023-04-06,3,Logistics scheduling
DSP-2023-00276,SO-2023-00276,2023-03-27,-1,
DSP-2023-00277,SO-2023-00277,2023-04-15,4,Production backlog
DSP-2023-00278,SO-2023-00278,2023-03-26,0,
DSP-2023-00279,SO-2023-00279,2023-04-05,0,
DSP-2023-00280,SO-2023-00280,2023-03-24,-2,
DSP-2023-00281,SO-2023-00281,2023-03-29,-1,
DSP-2023-00282,SO-2023-00282,2023-03-09,-2,
DSP-2023-00283,SO-2023-00283,2023-04-06,0,
DSP-2023-00284,SO-2023-00284,2023-03-20,-2,
DSP-2023-00285,SO-2023-00285,2023-03-22,0,
DSP-2023-00286,SO-2023-00286,2023-04-15,5,QC hold
DSP-2023-00287,SO-2023-00287,2023-03-29,-2,
DSP-2023-00288,SO-2023-00288,2023-03-27,-2,
DSP-2023-00289,SO-2023-00289,2023-04-21,3,QC hold
DSP-2023-00290,SO-2023-00290,2023-04-09,-1,
DSP-2023-00291,SO-2023-00291,2023-03-21,-1,
DSP-2023-00292,SO-2023-00292,2023-04-17,-1,
DSP-2023-00293,SO-2023-00293,2023-03-25,0,
DSP-2023-00294,SO-2023-00294,2023-03-29,-1,
DSP-2023-00295,SO-2023-00295,2023-04-01,0,
DSP-2023-00296,SO-2023-00296,2023-03-15,0,
DSP-2023-00297,SO-2023-00297,2023-03-28,3,Packaging delay
DSP-2023-00298,SO-2023-00298,2023-03-27,0,
DSP-2023-00299,SO-2023-00299,2023-04-09,-1,
DSP-2023-00300,SO-2023-00300,2023-03-22,6,Logistics scheduling
DSP-2023-00301,SO-2023-00301,2023-04-13,2,Packaging delay
DSP-2023-00302,SO-2023-00302,2023-03-12,0,
DSP-2023-00303,SO-2023-00303,2023-03-28,-2,
DSP-2023-00304,SO-2023-00304,2023-03-18,0,
DSP-2023-00305,SO-2023-00305,2023-04-03,-2,
DSP-2023-00306,SO-2023-00306,2023-04-08,-1,
DSP-2023-00307,SO-2023-00307,2023-04-19,6,Packaging delay
DSP-2023-00308,SO-2023-00308,2023-03-28,1,Material shortage
DSP-2023-00309,SO-2023-00309,2023-03-28,-1,
DSP-2023-00310,SO-2023-00310,2023-04-11,0,
DSP-2023-00311,SO-2023-00311,2023-03-18,-2,
DSP-2023-00312,SO-2023-00312,2023-03-31,-1,
DSP-2023-00313,SO-2023-00313,2023-03-20,-2,
DSP-2023-00314,SO-2023-00314,2023-03-17,0,
DSP-2023-00315,SO-2023-00315,2023-03-12,0,
DSP-2023-00316,SO-2023-00316,2023-04-02,-1,
DSP-2023-00317,SO-2023-00317,2023-03-26,-1,
DSP-2023-00318,SO-2023-00318,2023-03-21,-2,
DSP-2023-00319,SO-2023-00319,2023-04-01,3,Material shortage
DSP-2023-00320,SO-2023-00320,2023-04-10,0,
DSP-2023-00321,SO-2023-00321,2023-03-25,-2,
DSP-2023-00322,SO-2023-00322,2023-04-09,5,Material shortage
DSP-2023-00323,SO-2023-00323,2023-03-21,0,
DSP-2023-00324,SO-2023-00324,2023-04-03,-1,
DSP-2023-00325,SO-2023-00325,2023-03-22,-1,
DSP-2023-00326,SO-2023-00326,2023-03-31,-1,
DSP-2023-00327,SO-2023-00327,2023-04-13,-2,
DSP-2023-00328,SO-2023-00328,2023-03-30,-1,
DSP-2023-00329,SO-2023-00329,2023-03-25,0,
DSP-2023-00330,SO-2023-00330,2023-04-02,-1,
DSP-2023-00331,SO-2023-00331,2023-04-17,-1,
DSP-2023-00332,SO-2023-00332,2023-03-30,-1,
DSP-2023-00333,SO-2023-00333,2023-03-22,6,QC hold
DSP-2023-00334,SO-2023-00334,2023-04-13,-1,
DSP-2023-00335,SO-2023-00335,2023-04-13,2,Material shortage
DSP-2023-00336,SO-2023-00336,2023-04-18,3,QC hold
DSP-2023-00337,SO-2023-00337,2023-03-08,-2,
DSP-2023-00338,SO-2023-00338,2023-04-10,0,
DSP-2023-00339,SO-2023-00339,2023-03-28,0,
DSP-2023-00340,SO-2023-00340,2023-03-23,0,
DSP-2023-00341,SO-2023-00341,2023-03-27,0,
DSP-2023-00342,SO-2023-00342,2023-04-14,1,Production backlog
DSP-2023-00343,SO-2023-00343,2023-03-18,-2,
DSP-2023-00344,SO-2023-00344,2023-04-04,-1,
DSP-2023-00345,SO-2023-00345,2023-03-13,-1,
DSP-2023-00346,SO-2023-00346,2023-04-06,-1,
DSP-2023-00347,SO-2023-00347,2023-03-18,0,
DSP-2023-00348,SO-2023-00348,2023-04-11,1,QC hold
DSP-2023-00349,SO-2023-00349,2023-04-09,-1,
DSP-2023-00350,SO-2023-00350,2023-04-03,0,
DSP-2023-00351,SO-2023-00351,2023-03-28,-1,
DSP-2023-00352,SO-2023-00352,2023-04-04,-1,
DSP-2023-00353,SO-2023-00353,2023-04-01,0,
DSP-2023-00354,SO-2023-00354,2023-04-11,-2,
DSP-2023-00355,SO-2023-00355,2023-04-18,-2,
DSP-2023-00356,SO-2023-00356,2023-03-27,-1,
DSP-2023-00357,SO-2023-00357,2023-03-31,0,
DSP-2023-00358,SO-2023-00358,2023-04-05,0,
DSP-2023-00359,SO-2023-00359,2023-04-01,-2,
DSP-2023-00360,SO-2023-00360,2023-03-16,0,
DSP-2023-00361,SO-2023-00361,2023-04-02,-1,
DSP-2023-00362,SO-2023-00362,2023-04-11,-1,
DSP-2023-00363,SO-2023-00363,2023-04-18,3,QC hold
DSP-2023-00364,SO-2023-00364,2023-04-09,4,Production backlog
DSP-2023-00365,SO-2023-00365,2023-03-25,-1,
DSP-2023-00366,SO-2023-00366,2023-04-14,-1,
DSP-2023-00367,SO-2023-00367,2023-04-05,-1,
DSP-2023-00368,SO-2023-00368,2023-03-21,0,
DSP-2023-00369,SO-2023-00369,2023-04-07,-1,
DSP-2023-00370,SO-2023-00370,2023-04-05,1,Customer reschedule
DSP-2023-00371,SO-2023-00371,2023-03-21,0,
DSP-2023-00372,SO-2023-00372,2023-03-17,-2,
DSP-2023-00373,SO-2023-00373,2023-04-01,6,Material shortage
DSP-2023-00374,SO-2023-00374,2023-03-28,1,QC hold
DSP-2023-00375,SO-2023-00375,2023-03-26,-1,
DSP-2023-00376,SO-2023-00376,2023-03-26,-1,
DSP-2023-00377,SO-2023-00377,2023-03-27,-1,
DSP-2023-00378,SO-2023-00378,2023-03-13,-1,
DSP-2023-00379,SO-2023-00379,2023-04-14,-2,
DSP-2023-00380,SO-2023-00380,2023-03-28,-1,
DSP-2023-00381,SO-2023-00381,2023-04-07,5,Customer reschedule
DSP-2023-00382,SO-2023-00382,2023-04-05,0,
DSP-2023-00383,SO-2023-00383,2023-03-14,0,
DSP-2023-00384,SO-2023-00384,2023-04-16,-2,
DSP-2023-00385,SO-2023-00385,2023-03-20,0,
DSP-2023-00386,SO-2023-00386,2023-03-17,0,
DSP-2023-00387,SO-2023-00387,2023-04-13,-1,
DSP-2023-00388,SO-2023-00388,2023-03-17,0,
DSP-2023-00389,SO-2023-00389,2023-04-14,-2,
DSP-2023-00390,SO-2023-00390,2023-04-04,-1,
DSP-2023-00391,SO-2023-00391,2023-03-17,0,
DSP-2023-00392,SO-2023-00392,2023-03-20,-2,
DSP-2023-00393,SO-2023-00393,2023-03-24,-1,
DSP-2023-00394,SO-2023-00394,2023-03-24,-1,
DSP-2023-00395,SO-2023-00395,2023-04-13,1,Production backlog
DSP-2023-00396,SO-2023-00396,2023-03-22,-1,
DSP-2023-00397,SO-2023-00397,2023-04-09,1,Logistics scheduling
DSP-2023-00398,SO-2023-00398,2023-04-15,2,Material shortage
DSP-2023-00399,SO-2023-00399,2023-04-06,-1,
DSP-2023-00400,SO-2023-00400,2023-03-20,-2,
DSP-2023-00401,SO-2023-00401,2023-05-08,0,
DSP-2023-00402,SO-2023-00402,2023-04-14,0,
DSP-2023-00403,SO-2023-00403,2023-05-15,-1,
DSP-2023-00404,SO-2023-00404,2023-04-25,0,
DSP-2023-00405,SO-2023-00405,2023-04-17,0,
DSP-2023-00406,SO-2023-00406,2023-04-24,-1,
DSP-2023-00407,SO-2023-00407,2023-05-11,10,Logistics scheduling
DSP-2023-00408,SO-2023-00408,2023-04-09,-1,
DSP-2023-00409,SO-2023-00409,2023-05-15,-1,
DSP-2023-00410,SO-2023-00410,2023-05-14,-1,
DSP-2023-00411,SO-2023-00411,2023-05-12,1,Material shortage
DSP-2023-00412,SO-2023-00412,2023-04-23,0,
DSP-2023-00413,SO-2023-00413,2023-05-01,-2,
DSP-2023-00414,SO-2023-00414,2023-04-30,2,Logistics scheduling
DSP-2023-00415,SO-2023-00415,2023-04-24,0,
DSP-2023-00416,SO-2023-00416,2023-04-16,0,
DSP-2023-00417,SO-2023-00417,2023-04-26,-2,
DSP-2023-00418,SO-2023-00418,2023-04-23,-1,
DSP-2023-00419,SO-2023-00419,2023-04-30,-2,
DSP-2023-00420,SO-2023-00420,2023-05-10,0,
DSP-2023-00421,SO-2023-00421,2023-05-12,0,
DSP-2023-00422,SO-2023-00422,2023-04-09,-1,
DSP-2023-00423,SO-2023-00423,2023-04-10,-2,
DSP-2023-00424,SO-2023-00424,2023-04-18,-2,
DSP-2023-00425,SO-2023-00425,2023-05-26,7,QC hold
DSP-2023-00426,SO-2023-00426,2023-04-26,1,QC hold
DSP-2023-00427,SO-2023-00427,2023-05-23,4,Customer reschedule
DSP-2023-00428,SO-2023-00428,2023-04-26,7,QC hold
DSP-2023-00429,SO-2023-00429,2023-04-25,-2,
DSP-2023-00430,SO-2023-00430,2023-05-08,3,Customer reschedule
DSP-2023-00431,SO-2023-00431,2023-05-01,0,
DSP-2023-00432,SO-2023-00432,2023-05-02,-2,
DSP-2023-00433,SO-2023-00433,2023-04-27,0,
DSP-2023-00434,SO-2023-00434,2023-05-03,-2,
DSP-2023-00435,SO-2023-00435,2023-05-01,-2,
DSP-2023-00436,SO-2023-00436,2023-05-08,-2,
DSP-2023-00437,SO-2023-00437,2023-05-15,4,Production backlog
DSP-2023-00438,SO-2023-00438,2023-05-09,-1,
DSP-2023-00439,SO-2023-00439,2023-05-14,2,Customer reschedule
DSP-2023-00440,SO-2023-00440,2023-04-19,-2,
DSP-2023-00441,SO-2023-00441,2023-05-05,-2,
DSP-2023-00442,SO-2023-00442,2023-05-11,-1,
DSP-2023-00443,SO-2023-00443,2023-04-13,-2,
DSP-2023-00444,SO-2023-00444,2023-04-28,0,
DSP-2023-00445,SO-2023-00445,2023-04-24,0,
DSP-2023-00446,SO-2023-00446,2023-04-12,-2,
DSP-2023-00447,SO-2023-00447,2023-04-28,-1,
DSP-2023-00448,SO-2023-00448,2023-05-04,2,QC hold
DSP-2023-00449,SO-2023-00449,2023-04-30,-2,
DSP-2023-00450,SO-2023-00450,2023-05-20,0,
DSP-2023-00451,SO-2023-00451,2023-05-09,-1,
DSP-2023-00452,SO-2023-00452,2023-04-21,4,Logistics scheduling
DSP-2023-00453,SO-2023-00453,2023-05-21,3,Logistics scheduling
DSP-2023-00454,SO-2023-00454,2023-04-22,0,
