qc_id,batch_id,stage,sku,inspected_date,units_inspected,units_passed,units_rejected,defect_reason
35,B-000018,PRODUCTION_QC,IND-BAT-001,2023-01-04,524,507,17,LUMEN_OUT_OF_SPEC
36,B-000018,PACKAGING_QC,IND-BAT-001,2023-01-04,507,496,11,HOUSING_DAMAGE_ASSEMBLY
37,B-000019,PRODUCTION_QC,OUT-FLD-001,2023-01-05,306,292,14,HOUSING_DAMAGE_ASSEMBLY
38,B-000019,PACKAGING_QC,OUT-FLD-001,2023-01-05,292,288,4,DUST_CONTAMINATION
39,B-000020,PRODUCTION_QC,IND-BAT-001,2023-01-05,559,549,10,DRIVER_FAULT
40,B-000020,PACKAGING_QC,IND-BAT-001,2023-01-05,549,537,12,POOR_PACKAGING
41,B-000021,PRODUCTION_QC,IND-HBU-001,2023-01-05,233,224,9,POOR_PACKAGING
42,B-000021,PACKAGING_QC,IND-HBU-001,2023-01-05,224,220,4,POOR_PACKAGING
43,B-000022,PRODUCTION_QC,IND-HBU-001,2023-01-05,313,302,11,POOR_PACKAGING
44,B-000022,PACKAGING_QC,IND-HBU-001,2023-01-05,302,294,8,DRIVER_FAULT
45,B-000023,PRODUCTION_QC,IND-BAT-001,2023-01-05,494,479,15,COLOR_CONTAMINATION
46,B-000023,PACKAGING_QC,IND-BAT-001,2023-01-05,479,476,3,SOLDER_FAIL
47,B-000024,PRODUCTION_QC,IND-BAT-001,2023-01-05,721,698,23,LUMEN_OUT_OF_SPEC
48,B-000024,PACKAGING_QC,IND-BAT-001,2023-01-05,698,697,1,SOLDER_FAIL
49,B-000025,PRODUCTION_QC,IND-BAT-001,2023-01-06,610,588,22,HOUSING_SCRATCH
50,B-000025,PACKAGING_QC,IND-BAT-001,2023-01-06,588,576,12,LUMEN_OUT_OF_SPEC
51,B-000026,PRODUCTION_QC,IND-BAT-001,2023-01-06,496,483,13,FLICKER
52,B-000026,PACKAGING_QC,IND-BAT-001,2023-01-06,483,479,4,DUST_CONTAMINATION
53,B-000027,PRODUCTION_QC,IND-HBU-001,2023-01-06,261,249,12,SOLDER_FAIL
54,B-000027,PACKAGING_QC,IND-HBU-001,2023-01-06,249,244,5,DUST_CONTAMINATION
55,B-000028,PRODUCTION_QC,IND-HBU-001,2023-01-06,255,245,10,SOLDER_FAIL
56,B-000028,PACKAGING_QC,IND-HBU-001,2023-01-06,245,242,3,FLICKER
57,B-000029,PRODUCTION_QC,IND-HBU-001,2023-01-06,292,278,14,POOR_PACKAGING
58,B-000029,PACKAGING_QC,IND-HBU-001,2023-01-06,278,275,3,SOLDER_FAIL
59,B-000030,PRODUCTION_QC,IND-HBU-001,2023-01-06,306,294,12,LUMEN_OUT_OF_SPEC
60,B-000030,PACKAGING_QC,IND-HBU-001,2023-01-06,294,292,2,POOR_PACKAGING
61,B-000031,PRODUCTION_QC,IND-BAT-001,2023-01-07,669,651,18,HOUSING_SCRATCH
62,B-000031,PACKAGING_QC,IND-BAT-001,2023-01-07,651,640,11,POOR_PACKAGING
63,B-000032,PRODUCTION_QC,IND-HBU-001,2023-01-07,294,283,11,HOUSING_SCRATCH
64,B-000032,PACKAGING_QC,IND-HBU-001,2023-01-07,283,275,8,POOR_PACKAGING
65,B-000033,PRODUCTION_QC,IND-HBU-001,2023-01-07,280,267,13,SOLDER_FAIL
66,B-000033,PACKAGING_QC,IND-HBU-001,2023-01-07,267,263,4,FLICKER
67,B-000034,PRODUCTION_QC,IND-BAT-001,2023-01-09,771,750,21,HOUSING_SCRATCH
68,B-000034,PACKAGING_QC,IND-BAT-001,2023-01-09,750,745,5,POOR_PACKAGING
69,B-000035,PRODUCTION_QC,IND-BAT-001,2023-01-09,752,727,25,DRIVER_FAULT
70,B-000035,PACKAGING_QC,IND-BAT-001,2023-01-09,727,719,8,DUST_CONTAMINATION
71,B-000036,PRODUCTION_QC,IND-HBU-001,2023-01-09,332,320,12,HOUSING_DAMAGE_ASSEMBLY
72,B-000036,PACKAGING_QC,IND-HBU-001,2023-01-09,320,313,7,DUST_CONTAMINATION
73,B-000037,PRODUCTION_QC,IND-HBU-001,2023-01-09,303,292,11,DUST_CONTAMINATION
74,B-000037,PACKAGING_QC,IND-HBU-001,2023-01-09,292,288,4,COLOR_CONTAMINATION
75,B-000038,PRODUCTION_QC,IND-HBU-001,2023-01-09,289,277,12,HOUSING_DAMAGE_ASSEMBLY
76,B-000038,PACKAGING_QC,IND-HBU-001,2023-01-09,277,272,5,POOR_PACKAGING
77,B-000039,PRODUCTION_QC,IND-HBU-001,2023-01-09,315,304,11,HOUSING_DAMAGE_ASSEMBLY
78,B-000039,PACKAGING_QC,IND-HBU-001,2023-01-09,304,298,6,FLICKER
79,B-000040,PRODUCTION_QC,IND-BAT-001,2023-01-10,721,706,15,HOUSING_SCRATCH
80,B-000040,PACKAGING_QC,IND-BAT-001,2023-01-10,706,703,3,POOR_PACKAGING
81,B-000041,PRODUCTION_QC,IND-BAT-001,2023-01-10,475,461,14,POOR_PACKAGING
82,B-000041,PACKAGING_QC,IND-BAT-001,2023-01-10,461,455,6,HOUSING_SCRATCH
83,B-000042,PRODUCTION_QC,IND-HBU-001,2023-01-10,305,295,10,LUMEN_OUT_OF_SPEC
84,B-000042,PACKAGING_QC,IND-HBU-001,2023-01-10,295,289,6,HOUSING_DAMAGE_ASSEMBLY
85,B-000043,PRODUCTION_QC,IND-PAN-001,2023-01-10,445,422,23,HOUSING_DAMAGE_ASSEMBLY
86,B-000043,PACKAGING_QC,IND-PAN-001,2023-01-10,422,414,8,SOLDER_FAIL
87,B-000044,PRODUCTION_QC,IND-HBU-001,2023-01-10,257,246,11,FLICKER
88,B-000044,PACKAGING_QC,IND-HBU-001,2023-01-10,246,244,2,POOR_PACKAGING
89,B-000045,PRODUCTION_QC,IND-HBU-001,2023-01-10,299,285,14,DUST_CONTAMINATION
90,B-000045,PACKAGING_QC,IND-HBU-001,2023-01-10,285,280,5,HOUSING_DAMAGE_ASSEMBLY
91,B-000046,PRODUCTION_QC,IND-COB-001,2023-01-11,863,846,17,HOUSING_DAMAGE_ASSEMBLY
92,B-000046,PACKAGING_QC,IND-COB-001,2023-01-11,846,832,14,DRIVER_FAULT
93,B-000047,PRODUCTION_QC,IND-COB-001,2023-01-11,633,621,12,POOR_PACKAGING
94,B-000047,PACKAGING_QC,IND-COB-001,2023-01-11,621,613,8,FLICKER
95,B-000048,PRODUCTION_QC,IND-PAN-001,2023-01-11,454,430,24,HOUSING_DAMAGE_ASSEMBLY
96,B-000048,PACKAGING_QC,IND-PAN-001,2023-01-11,430,426,4,HOUSING_SCRATCH
97,B-000049,PRODUCTION_QC,IND-PAN-001,2023-01-11,546,525,21,HOUSING_SCRATCH
98,B-000049,PACKAGING_QC,IND-PAN-001,2023-01-11,525,514,11,COLOR_CONTAMINATION
99,B-000050,PRODUCTION_QC,IND-HBU-001,2023-01-11,288,276,12,HOUSING_SCRATCH
100,B-000050,PACKAGING_QC,IND-HBU-001,2023-01-11,276,274,2,DUST_CONTAMINATION
101,B-000051,PRODUCTION_QC,OUT-FLD-001,2023-01-11,293,282,11,HOUSING_DAMAGE_ASSEMBLY
102,B-000051,PACKAGING_QC,OUT-FLD-001,2023-01-11,282,278,4,DUST_CONTAMINATION
103,B-000052,PRODUCTION_QC,IND-COB-001,2023-01-12,978,953,25,FLICKER
104,B-000052,PACKAGING_QC,IND-COB-001,2023-01-12,953,946,7,HOUSING_SCRATCH
105,B-000053,PRODUCTION_QC,IND-COB-001,2023-01-12,887,858,29,COLOR_CONTAMINATION
106,B-000053,PACKAGING_QC,IND-COB-001,2023-01-12,858,855,3,HOUSING_SCRATCH
107,B-000054,PRODUCTION_QC,IND-PAN-001,2023-01-12,507,485,22,COLOR_CONTAMINATION
108,B-000054,PACKAGING_QC,IND-PAN-001,2023-01-12,485,478,7,POOR_PACKAGING
109,B-000055,PRODUCTION_QC,IND-PAN-001,2023-01-12,521,501,20,FLICKER
110,B-000055,PACKAGING_QC,IND-PAN-001,2023-01-12,501,489,12,FLICKER
111,B-000056,PRODUCTION_QC,OUT-FLD-001,2023-01-12,383,369,14,LUMEN_OUT_OF_SPEC
112,B-000056,PACKAGING_QC,OUT-FLD-001,2023-01-12,369,362,7,LUMEN_OUT_OF_SPEC
113,B-000057,PRODUCTION_QC,OUT-FLD-001,2023-01-12,406,389,17,FLICKER
114,B-000057,PACKAGING_QC,OUT-FLD-001,2023-01-12,389,383,6,FLICKER
115,B-000058,PRODUCTION_QC,IND-COB-001,2023-01-13,854,831,23,COLOR_CONTAMINATION
116,B-000058,PACKAGING_QC,IND-COB-001,2023-01-13,831,830,1,POOR_PACKAGING
117,B-000059,PRODUCTION_QC,IND-COB-001,2023-01-13,867,843,24,FLICKER
118,B-000059,PACKAGING_QC,IND-COB-001,2023-01-13,843,842,1,LUMEN_OUT_OF_SPEC
119,B-000060,PRODUCTION_QC,IND-PAN-001,2023-01-13,565,536,29,HOUSING_DAMAGE_ASSEMBLY
120,B-000060,PACKAGING_QC,IND-PAN-001,2023-01-13,536,526,10,LUMEN_OUT_OF_SPEC
121,B-000061,PRODUCTION_QC,IND-PAN-001,2023-01-13,482,466,16,SOLDER_FAIL
122,B-000061,PACKAGING_QC,IND-PAN-001,2023-01-13,466,457,9,FLICKER
123,B-000062,PRODUCTION_QC,OUT-FLD-001,2023-01-13,340,324,16,COLOR_CONTAMINATION
124,B-000062,PACKAGING_QC,OUT-FLD-001,2023-01-13,324,319,5,HOUSING_DAMAGE_ASSEMBLY
125,B-000063,PRODUCTION_QC,OUT-FLD-001,2023-01-13,321,309,12,DUST_CONTAMINATION
126,B-000063,PACKAGING_QC,OUT-FLD-001,2023-01-13,309,303,6,HOUSING_SCRATCH
127,B-000064,PRODUCTION_QC,IND-COB-001,2023-01-14,998,970,28,HOUSING_DAMAGE_ASSEMBLY
128,B-000064,PACKAGING_QC,IND-COB-001,2023-01-14,970,959,11,POOR_PACKAGING
129,B-000065,PRODUCTION_QC,IND-PAN-001,2023-01-14,544,523,21,FLICKER
130,B-000065,PACKAGING_QC,IND-PAN-001,2023-01-14,523,515,8,FLICKER
131,B-000066,PRODUCTION_QC,OUT-FLD-001,2023-01-14,399,386,13,HOUSING_SCRATCH
132,B-000066,PACKAGING_QC,OUT-FLD-001,2023-01-14,386,383,3,DUST_CONTAMINATION
133,B-000067,PRODUCTION_QC,IND-BAT-001,2023-01-16,719,697,22,LUMEN_OUT_OF_SPEC
134,B-000067,PACKAGING_QC,IND-BAT-001,2023-01-16,697,687,10,POOR_PACKAGING
135,B-000068,PRODUCTION_QC,IND-BAT-001,2023-01-16,670,651,19,DUST_CONTAMINATION
136,B-000068,PACKAGING_QC,IND-BAT-001,2023-01-16,651,642,9,POOR_PACKAGING
137,B-000069,PRODUCTION_QC,IND-PAN-001,2023-01-16,514,493,21,FLICKER
138,B-000069,PACKAGING_QC,IND-PAN-001,2023-01-16,493,485,8,DUST_CONTAMINATION
139,B-000070,PRODUCTION_QC,OUT-STR-001,2023-01-16,228,219,9,HOUSING_DAMAGE_ASSEMBLY
140,B-000070,PACKAGING_QC,OUT-STR-001,2023-01-16,219,214,5,DUST_CONTAMINATION
141,B-000071,PRODUCTION_QC,IND-COB-001,2023-01-16,851,818,33,HOUSING_DAMAGE_ASSEMBLY
142,B-000071,PACKAGING_QC,IND-COB-001,2023-01-16,818,807,11,POOR_PACKAGING
143,B-000072,PRODUCTION_QC,IND-COB-001,2023-01-16,856,830,26,LUMEN_OUT_OF_SPEC
144,B-000072,PACKAGING_QC,IND-COB-001,2023-01-16,830,816,14,POOR_PACKAGING
145,B-000073,PRODUCTION_QC,IND-BAT-001,2023-01-17,684,657,27,HOUSING_SCRATCH
146,B-000073,PACKAGING_QC,IND-BAT-001,2023-01-17,657,651,6,FLICKER
147,B-000074,PRODUCTION_QC,IND-BAT-001,2023-01-17,674,663,11,HOUSING_DAMAGE_ASSEMBLY
148,B-000074,PACKAGING_QC,IND-BAT-001,2023-01-17,663,655,8,POOR_PACKAGING
149,B-000075,PRODUCTION_QC,OUT-STR-001,2023-01-17,253,241,12,DRIVER_FAULT
150,B-000075,PACKAGING_QC,OUT-STR-001,2023-01-17,241,233,8,FLICKER
151,B-000076,PRODUCTION_QC,OUT-STR-001,2023-01-17,266,255,11,DUST_CONTAMINATION
152,B-000076,PACKAGING_QC,OUT-STR-001,2023-01-17,255,247,8,HOUSING_DAMAGE_ASSEMBLY
153,B-000077,PRODUCTION_QC,IND-COB-001,2023-01-17,943,919,24,DUST_CONTAMINATION
154,B-000077,PACKAGING_QC,IND-COB-001,2023-01-17,919,914,5,FLICKER
155,B-000078,PRODUCTION_QC,IND-COB-001,2023-01-17,840,811,29,COLOR_CONTAMINATION
156,B-000078,PACKAGING_QC,IND-COB-001,2023-01-17,811,806,5,FLICKER
157,B-000079,PRODUCTION_QC,IND-BAT-001,2023-01-18,768,745,23,DUST_CONTAMINATION
158,B-000079,PACKAGING_QC,IND-BAT-001,2023-01-18,745,736,9,POOR_PACKAGING
159,B-000080,PRODUCTION_QC,IND-BAT-001,2023-01-18,675,652,23,SOLDER_FAIL
160,B-000080,PACKAGING_QC,IND-BAT-001,2023-01-18,652,641,11,HOUSING_SCRATCH
161,B-000081,PRODUCTION_QC,OUT-STR-001,2023-01-18,275,262,13,HOUSING_DAMAGE_ASSEMBLY
162,B-000081,PACKAGING_QC,OUT-STR-001,2023-01-18,262,254,8,DUST_CONTAMINATION
163,B-000082,PRODUCTION_QC,OUT-STR-001,2023-01-18,254,241,13,HOUSING_DAMAGE_ASSEMBLY
164,B-000082,PACKAGING_QC,OUT-STR-001,2023-01-18,241,236,5,COLOR_CONTAMINATION
165,B-000083,PRODUCTION_QC,IND-COB-001,2023-01-18,953,928,25,FLICKER
166,B-000083,PACKAGING_QC,IND-COB-001,2023-01-18,928,913,15,SOLDER_FAIL
167,B-000084,PRODUCTION_QC,IND-HBU-001,2023-01-18,226,217,9,SOLDER_FAIL
168,B-000084,PACKAGING_QC,IND-HBU-001,2023-01-18,217,214,3,POOR_PACKAGING
169,B-000085,PRODUCTION_QC,IND-BLB-001,2023-01-19,1293,1269,24,DUST_CONTAMINATION
170,B-000085,PACKAGING_QC,IND-BLB-001,2023-01-19,1269,1254,15,POOR_PACKAGING
171,B-000086,PRODUCTION_QC,IND-BLB-001,2023-01-19,1691,1659,32,HOUSING_DAMAGE_ASSEMBLY
172,B-000086,PACKAGING_QC,IND-BLB-001,2023-01-19,1659,1634,25,HOUSING_SCRATCH
173,B-000087,PRODUCTION_QC,OUT-STR-001,2023-01-19,276,263,13,FLICKER
174,B-000087,PACKAGING_QC,OUT-STR-001,2023-01-19,263,257,6,HOUSING_SCRATCH
175,B-000088,PRODUCTION_QC,OUT-STR-001,2023-01-19,287,271,16,SOLDER_FAIL
176,B-000088,PACKAGING_QC,OUT-STR-001,2023-01-19,271,263,8,DUST_CONTAMINATION
177,B-000089,PRODUCTION_QC,IND-HBU-001,2023-01-19,320,306,14,SOLDER_FAIL
178,B-000089,PACKAGING_QC,IND-HBU-001,2023-01-19,306,304,2,SOLDER_FAIL
179,B-000090,PRODUCTION_QC,IND-HBU-001,2023-01-19,305,295,10,HOUSING_DAMAGE_ASSEMBLY
180,B-000090,PACKAGING_QC,IND-HBU-001,2023-01-19,295,288,7,SOLDER_FAIL
181,B-000091,PRODUCTION_QC,IND-BLB-001,2023-01-20,1777,1745,32,HOUSING_SCRATCH
182,B-000091,PACKAGING_QC,IND-BLB-001,2023-01-20,1745,1731,14,POOR_PACKAGING
183,B-000092,PRODUCTION_QC,IND-BLB-001,2023-01-20,1655,1608,47,COLOR_CONTAMINATION
184,B-000092,PACKAGING_QC,IND-BLB-001,2023-01-20,1608,1596,12,LUMEN_OUT_OF_SPEC
185,B-000093,PRODUCTION_QC,OUT-STR-001,2023-01-20,313,300,13,HOUSING_SCRATCH
186,B-000093,PACKAGING_QC,OUT-STR-001,2023-01-20,300,294,6,POOR_PACKAGING
187,B-000094,PRODUCTION_QC,OUT-STR-001,2023-01-20,273,259,14,FLICKER
188,B-000094,PACKAGING_QC,OUT-STR-001,2023-01-20,259,254,5,POOR_PACKAGING
189,B-000095,PRODUCTION_QC,IND-HBU-001,2023-01-20,244,233,11,LUMEN_OUT_OF_SPEC
190,B-000095,PACKAGING_QC,IND-HBU-001,2023-01-20,233,230,3,POOR_PACKAGING
191,B-000096,PRODUCTION_QC,IND-HBU-001,2023-01-20,182,175,7,FLICKER
192,B-000096,PACKAGING_QC,IND-HBU-001,2023-01-20,175,172,3,DUST_CONTAMINATION
193,B-000097,PRODUCTION_QC,IND-BLB-001,2023-01-21,1447,1404,43,POOR_PACKAGING
194,B-000097,PACKAGING_QC,IND-BLB-001,2023-01-21,1404,1393,11,POOR_PACKAGING
195,B-000098,PRODUCTION_QC,OUT-FLD-001,2023-01-21,280,270,10,HOUSING_SCRATCH
196,B-000098,PACKAGING_QC,OUT-FLD-001,2023-01-21,270,266,4,HOUSING_SCRATCH
197,B-000099,PRODUCTION_QC,IND-HBU-001,2023-01-21,307,293,14,SOLDER_FAIL
198,B-000099,PACKAGING_QC,IND-HBU-001,2023-01-21,293,286,7,HOUSING_DAMAGE_ASSEMBLY
199,B-000100,PRODUCTION_QC,IND-BLB-001,2023-01-23,1809,1766,43,DUST_CONTAMINATION
200,B-000100,PACKAGING_QC,IND-BLB-001,2023-01-23,1766,1733,33,POOR_PACKAGING
201,B-000101,PRODUCTION_QC,IND-BLB-001,2023-01-23,1775,1741,34,DRIVER_FAULT
202,B-000101,PACKAGING_QC,IND-BLB-001,2023-01-23,1741,1734,7,HOUSING_SCRATCH
203,B-000102,PRODUCTION_QC,OUT-FLD-001,2023-01-23,393,378,15,SOLDER_FAIL
204,B-000102,PACKAGING_QC,OUT-FLD-001,2023-01-23,378,373,5,HOUSING_DAMAGE_ASSEMBLY
205,B-000103,PRODUCTION_QC,OUT-FLD-001,2023-01-23,253,243,10,FLICKER
206,B-000103,PACKAGING_QC,OUT-FLD-001,2023-01-23,243,240,3,DUST_CONTAMINATION
207,B-000104,PRODUCTION_QC,IND-HBU-001,2023-01-23,319,304,15,HOUSING_DAMAGE_ASSEMBLY
208,B-000104,PACKAGING_QC,IND-HBU-001,2023-01-23,304,298,6,FLICKER
209,B-000105,PRODUCTION_QC,IND-WGL-001,2023-01-23,439,423,16,DRIVER_FAULT
210,B-000105,PACKAGING_QC,IND-WGL-001,2023-01-23,423,416,7,HOUSING_SCRATCH
211,B-000106,PRODUCTION_QC,IND-BLB-001,2023-01-24,1350,1321,29,DRIVER_FAULT
212,B-000106,PACKAGING_QC,IND-BLB-001,2023-01-24,1321,1319,2,HOUSING_DAMAGE_ASSEMBLY
213,B-000107,PRODUCTION_QC,IND-BLB-001,2023-01-24,1632,1590,42,SOLDER_FAIL
214,B-000107,PACKAGING_QC,IND-BLB-001,2023-01-24,1590,1557,33,FLICKER
215,B-000108,PRODUCTION_QC,OUT-FLD-001,2023-01-24,276,266,10,FLICKER
216,B-000108,PACKAGING_QC,OUT-FLD-001,2023-01-24,266,260,6,POOR_PACKAGING
217,B-000109,PRODUCTION_QC,OUT-FLD-001,2023-01-24,363,352,11,FLICKER
218,B-000109,PACKAGING_QC,OUT-FLD-001,2023-01-24,352,348,4,POOR_PACKAGING
219,B-000110,PRODUCTION_QC,IND-WGL-001,2023-01-24,548,532,16,HOUSING_DAMAGE_ASSEMBLY
220,B-000110,PACKAGING_QC,IND-WGL-001,2023-01-24,532,527,5,HOUSING_SCRATCH
221,B-000111,PRODUCTION_QC,IND-WGL-001,2023-01-24,581,566,15,FLICKER
222,B-000111,PACKAGING_QC,IND-WGL-001,2023-01-24,566,560,6,POOR_PACKAGING
223,B-000112,PRODUCTION_QC,IND-BLB-001,2023-01-25,1565,1526,39,COLOR_CONTAMINATION
224,B-000112,PACKAGING_QC,IND-BLB-001,2023-01-25,1526,1502,24,POOR_PACKAGING
225,B-000113,PRODUCTION_QC,IND-PAN-001,2023-01-25,437,417,20,DRIVER_FAULT
226,B-000113,PACKAGING_QC,IND-PAN-001,2023-01-25,417,408,9,POOR_PACKAGING
227,B-000114,PRODUCTION_QC,IND-PAN-001,2023-01-25,537,515,22,HOUSING_DAMAGE_ASSEMBLY
228,B-000114,PACKAGING_QC,IND-PAN-001,2023-01-25,515,508,7,FLICKER
229,B-000115,PRODUCTION_QC,IND-PAN-001,2023-01-25,554,531,23,HOUSING_SCRATCH
230,B-000115,PACKAGING_QC,IND-PAN-001,2023-01-25,531,519,12,LUMEN_OUT_OF_SPEC
231,B-000116,PRODUCTION_QC,IND-WGL-001,2023-01-25,374,363,11,LUMEN_OUT_OF_SPEC
232,B-000116,PACKAGING_QC,IND-WGL-001,2023-01-25,363,356,7,COLOR_CONTAMINATION
233,B-000117,PRODUCTION_QC,IND-WGL-001,2023-01-25,494,475,19,SOLDER_FAIL
234,B-000117,PACKAGING_QC,IND-WGL-001,2023-01-25,475,468,7,HOUSING_DAMAGE_ASSEMBLY
235,B-000118,PRODUCTION_QC,IND-PAN-001,2023-01-26,535,510,25,POOR_PACKAGING
236,B-000118,PACKAGING_QC,IND-PAN-001,2023-01-26,510,506,4,FLICKER
237,B-000119,PRODUCTION_QC,IND-PAN-001,2023-01-26,474,455,19,DUST_CONTAMINATION
238,B-000119,PACKAGING_QC,IND-PAN-001,2023-01-26,455,447,8,POOR_PACKAGING
239,B-000120,PRODUCTION_QC,IND-PAN-001,2023-01-26,447,427,20,POOR_PACKAGING
240,B-000120,PACKAGING_QC,IND-PAN-001,2023-01-26,427,415,12,SOLDER_FAIL
241,B-000121,PRODUCTION_QC,IND-PAN-001,2023-01-26,430,411,19,HOUSING_SCRATCH
242,B-000121,PACKAGING_QC,IND-PAN-001,2023-01-26,411,407,4,POOR_PACKAGING
243,B-000122,PRODUCTION_QC,IND-COB-001,2023-01-26,770,747,23,POOR_PACKAGING
244,B-000122,PACKAGING_QC,IND-COB-001,2023-01-26,747,740,7,HOUSING_SCRATCH
245,B-000123,PRODUCTION_QC,IND-COB-001,2023-01-26,823,799,24,DRIVER_FAULT
246,B-000123,PACKAGING_QC,IND-COB-001,2023-01-26,799,787,12,HOUSING_SCRATCH
247,B-000124,PRODUCTION_QC,IND-PAN-001,2023-01-27,564,545,19,HOUSING_DAMAGE_ASSEMBLY
248,B-000124,PACKAGING_QC,IND-PAN-001,2023-01-27,545,535,10,HOUSING_SCRATCH
249,B-000125,PRODUCTION_QC,IND-PAN-001,2023-01-27,576,558,18,DUST_CONTAMINATION
250,B-000125,PACKAGING_QC,IND-PAN-001,2023-01-27,558,549,9,SOLDER_FAIL
251,B-000126,PRODUCTION_QC,IND-PAN-001,2023-01-27,547,526,21,HOUSING_DAMAGE_ASSEMBLY
252,B-000126,PACKAGING_QC,IND-PAN-001,2023-01-27,526,519,7,POOR_PACKAGING
253,B-000127,PRODUCTION_QC,IND-PAN-001,2023-01-27,355,337,18,POOR_PACKAGING
254,B-000127,PACKAGING_QC,IND-PAN-001,2023-01-27,337,331,6,DRIVER_FAULT
255,B-000128,PRODUCTION_QC,IND-COB-001,2023-01-27,938,918,20,HOUSING_SCRATCH
256,B-000128,PACKAGING_QC,IND-COB-001,2023-01-27,918,910,8,POOR_PACKAGING
257,B-000129,PRODUCTION_QC,IND-COB-001,2023-01-27,827,798,29,HOUSING_DAMAGE_ASSEMBLY
258,B-000129,PACKAGING_QC,IND-COB-001,2023-01-27,798,783,15,FLICKER
259,B-000130,PRODUCTION_QC,IND-PAN-001,2023-01-28,488,469,19,HOUSING_SCRATCH
260,B-000130,PACKAGING_QC,IND-PAN-001,2023-01-28,469,463,6,HOUSING_DAMAGE_ASSEMBLY
261,B-000131,PRODUCTION_QC,IND-WGL-001,2023-01-28,566,552,14,FLICKER
262,B-000131,PACKAGING_QC,IND-WGL-001,2023-01-28,552,542,10,POOR_PACKAGING
263,B-000132,PRODUCTION_QC,IND-HBU-001,2023-01-28,275,264,11,HOUSING_SCRATCH
