order_id,customer_id,sku,order_date,promised_date,qty_ordered,unit_price_eur,priority
SO-2023-00027,3,IND-COB-001,2023-01-23,2023-02-12,38,14.15,Standard
SO-2023-00028,7,IND-BAT-001,2023-01-23,2023-01-29,224,18.38,Urgent
SO-2023-00029,6,IND-COB-001,2023-01-27,2023-01-30,94,13.85,VIP
SO-2023-00030,3,IND-BAT-001,2023-01-02,2023-01-21,355,18.35,Standard
SO-2023-00031,2,IND-BAT-001,2023-01-04,2023-01-20,72,18.79,Standard
SO-2023-00032,5,IND-EPL-001,2023-01-31,2023-02-07,205,34.59,Urgent
SO-2023-00033,1,IND-BAT-001,2023-01-24,2023-01-30,366,18.79,Urgent
SO-2023-00034,5,IND-EPL-001,2023-01-19,2023-02-03,452,35.52,Standard
SO-2023-00035,4,IND-PAN-001,2023-01-25,2023-02-10,157,30.67,Standard
SO-2023-00036,6,IND-HBU-001,2023-01-25,2023-02-08,68,78.69,Standard
SO-2023-00037,4,IND-WGL-001,2023-01-09,2023-01-27,63,26.19,Standard
SO-2023-00038,5,OUT-FLD-001,2023-01-23,2023-02-09,188,47.82,Standard
SO-2023-00039,5,IND-COB-001,2023-02-01,2023-02-16,54,14.3,Standard
SO-2023-00040,5,IND-COB-001,2023-01-05,2023-01-09,46,14.02,VIP
SO-2023-00041,5,IND-EPL-001,2023-01-31,2023-02-16,329,35.24,Standard
SO-2023-00042,7,IND-EPL-001,2023-01-13,2023-01-20,242,36.4,Urgent
SO-2023-00043,5,IND-WGL-001,2023-01-05,2023-01-22,47,25.61,Standard
SO-2023-00044,5,OUT-STR-001,2023-01-24,2023-01-30,124,98.51,Urgent
SO-2023-00045,7,OUT-FLD-001,2023-01-04,2023-01-21,162,48.03,Standard
SO-2023-00046,3,IND-BAT-001,2023-01-06,2023-01-15,57,18.74,Urgent
SO-2023-00047,2,IND-HBU-001,2023-01-10,2023-01-30,38,83.49,Standard
SO-2023-00048,7,OUT-FLD-001,2023-01-12,2023-01-29,107,47.59,Standard
SO-2023-00049,7,OUT-FLD-001,2023-01-24,2023-02-07,79,47.75,Standard
SO-2023-00050,5,IND-BLB-001,2023-01-04,2023-01-19,276,3.92,Standard
SO-2023-00051,3,IND-BAT-001,2023-01-23,2023-02-08,137,18.47,Standard
SO-2023-00052,5,OUT-FLD-001,2023-01-10,2023-01-31,94,46.53,Standard
SO-2023-00053,5,IND-WGL-001,2023-01-30,2023-02-08,30,25.59,Urgent
SO-2023-00054,1,IND-WGL-001,2023-01-27,2023-02-17,85,26.26,Standard
SO-2023-00055,5,IND-WGL-001,2023-01-05,2023-01-12,28,24.57,Urgent
SO-2023-00056,7,IND-COB-001,2023-01-18,2023-02-07,52,14.33,Standard
SO-2023-00057,1,OUT-FLD-001,2023-01-03,2023-01-09,137,48.21,VIP
SO-2023-00058,6,OUT-FLD-001,2023-01-31,2023-02-19,48,46.38,Standard
SO-2023-00059,6,OUT-FLD-001,2023-01-17,2023-02-07,121,45.35,Standard
SO-2023-00060,3,IND-WGL-001,2023-01-06,2023-01-20,16,26.5,Standard
SO-2023-00061,1,IND-EPL-001,2023-01-16,2023-01-24,332,36.08,Urgent
SO-2023-00062,4,IND-BLB-001,2023-01-17,2023-01-27,163,3.97,Urgent
SO-2023-00063,7,IND-WGL-001,2023-01-25,2023-02-10,41,26.4,Standard
SO-2023-00064,5,OUT-FLD-001,2023-01-25,2023-02-09,177,46.28,Standard
SO-2023-00065,4,IND-EPL-001,2023-01-16,2023-01-31,500,36.47,Standard
SO-2023-00066,4,IND-BLB-001,2023-01-03,2023-01-24,190,3.96,Standard
SO-2023-00067,3,IND-BAT-001,2023-02-01,2023-02-21,61,18.61,Standard
SO-2023-00068,1,IND-HBU-001,2023-01-09,2023-01-12,87,82.34,VIP
SO-2023-00069,1,IND-COB-001,2023-01-25,2023-02-09,58,14.15,Standard
SO-2023-00070,2,IND-BAT-001,2023-01-17,2023-02-05,397,18.65,Standard
SO-2023-00071,2,IND-PAN-001,2023-01-31,2023-02-03,154,30.26,VIP
SO-2023-00072,2,IND-BAT-001,2023-01-24,2023-02-10,380,18.37,Standard
SO-2023-00073,4,IND-PAN-001,2023-01-12,2023-01-28,225,30.48,Standard
SO-2023-00074,6,IND-COB-001,2023-01-02,2023-01-18,21,13.98,Standard
SO-2023-00075,3,IND-BAT-001,2023-01-13,2023-01-30,495,18.36,Standard
SO-2023-00076,1,IND-COB-001,2023-01-31,2023-02-05,76,14.03,Urgent
SO-2023-00077,5,IND-WGL-001,2023-01-31,2023-02-15,62,25.11,Standard
SO-2023-00078,4,IND-EPL-001,2023-01-25,2023-02-14,491,36.52,Standard
SO-2023-00079,3,IND-BAT-001,2023-01-27,2023-02-10,159,18.36,Standard
SO-2023-00080,5,IND-BLB-001,2023-01-05,2023-01-11,490,3.97,Urgent
SO-2023-00081,5,IND-WGL-001,2023-01-04,2023-01-19,79,26.59,Standard
SO-2023-00082,3,OUT-STR-001,2023-01-26,2023-02-05,186,98.61,Urgent
SO-2023-00083,1,IND-EPL-001,2023-01-20,2023-01-25,312,36.29,VIP
SO-2023-00084,2,IND-PAN-001,2023-01-03,2023-01-10,220,30.69,Urgent
SO-2023-00085,6,IND-PAN-001,2023-01-31,2023-02-19,173,30.64,Standard
SO-2023-00086,7,IND-WGL-001,2023-01-25,2023-02-12,25,26.18,Standard
SO-2023-00087,1,IND-BLB-001,2023-01-18,2023-02-01,464,3.95,Standard
SO-2023-00088,5,IND-COB-001,2023-01-10,2023-01-24,33,13.67,Standard
SO-2023-00089,4,IND-BAT-001,2023-01-11,2023-01-30,365,18.47,Standard
SO-2023-00090,1,IND-WGL-001,2023-01-19,2023-02-02,49,26.08,Standard
SO-2023-00091,5,OUT-FLD-001,2023-01-11,2023-01-29,95,47.4,Standard
SO-2023-00092,3,OUT-FLD-001,2023-01-31,2023-02-14,27,48.7,Standard
SO-2023-00093,5,IND-BLB-001,2023-01-10,2023-01-31,89,3.89,Standard
SO-2023-00094,2,IND-BAT-001,2023-01-16,2023-01-21,368,18.68,Urgent
SO-2023-00095,2,IND-COB-001,2023-01-06,2023-01-10,48,14.36,VIP
SO-2023-00096,4,OUT-FLD-001,2023-01-27,2023-02-10,200,48.68,Standard
SO-2023-00097,3,OUT-STR-001,2023-01-04,2023-01-09,60,97.69,Urgent
SO-2023-00098,2,IND-BAT-001,2023-01-11,2023-01-26,241,18.36,Standard
SO-2023-00099,1,IND-PAN-001,2023-01-31,2023-02-16,461,31.04,Standard
SO-2023-00100,5,IND-EPL-001,2023-01-27,2023-02-11,452,34.7,Standard
SO-2023-00101,1,IND-EPL-001,2023-01-26,2023-02-14,289,35.76,Standard
SO-2023-00102,3,IND-COB-001,2023-01-13,2023-02-02,32,14.17,Standard
SO-2023-00103,7,IND-BLB-001,2023-01-30,2023-02-17,54,3.97,Standard
SO-2023-00104,4,IND-WGL-001,2023-01-31,2023-02-05,96,26.03,VIP
SO-2023-00105,6,IND-PAN-001,2023-01-27,2023-02-17,269,29.15,Standard
SO-2023-00106,5,IND-WGL-001,2023-01-03,2023-01-08,12,25.47,VIP
SO-2023-00107,5,OUT-FLD-001,2023-01-26,2023-02-02,167,45.95,VIP
SO-2023-00108,2,OUT-FLD-001,2023-01-30,2023-02-09,25,47.81,Urgent
SO-2023-00109,5,IND-BAT-001,2023-02-01,2023-02-07,206,17.58,Urgent
SO-2023-00110,1,IND-COB-001,2023-01-24,2023-02-08,67,14.14,Standard
SO-2023-00111,6,IND-HBU-001,2023-01-19,2023-02-06,17,78.62,Standard
SO-2023-00112,7,IND-WGL-001,2023-01-19,2023-02-08,17,25.9,Standard
SO-2023-00113,1,IND-BAT-001,2023-01-10,2023-01-26,389,18.52,Standard
SO-2023-00114,5,IND-BLB-001,2023-02-01,2023-02-08,288,3.75,Urgent
SO-2023-00115,4,OUT-STR-001,2023-01-05,2023-01-22,148,99.89,Standard
SO-2023-00116,4,IND-BLB-001,2023-01-25,2023-01-31,343,3.96,Urgent
SO-2023-00117,4,IND-PAN-001,2023-01-09,2023-01-23,199,30.72,Standard
SO-2023-00118,4,IND-BLB-001,2023-01-24,2023-02-01,349,3.94,Urgent
SO-2023-00119,3,IND-PAN-001,2023-01-25,2023-02-11,443,31.0,Standard
SO-2023-00120,2,OUT-STR-001,2023-01-31,2023-02-21,91,97.36,Standard
SO-2023-00121,5,IND-HBU-001,2023-01-02,2023-01-17,37,84.35,Standard
SO-2023-00122,6,IND-PAN-001,2023-01-04,2023-01-20,425,30.39,Standard
SO-2023-00123,3,IND-HBU-001,2023-01-30,2023-02-09,81,83.09,Urgent
SO-2023-00124,1,IND-PAN-001,2023-01-20,2023-02-06,395,30.63,Standard
SO-2023-00125,3,IND-HBU-001,2023-01-12,2023-02-01,100,82.31,Standard
SO-2023-00126,3,IND-COB-001,2023-02-22,2023-02-26,92,14.02,VIP
SO-2023-00127,5,IND-HBU-001,2023-02-02,2023-02-21,84,80.68,Standard
SO-2023-00128,4,IND-HBU-001,2023-02-16,2023-03-05,64,82.82,Standard
SO-2023-00129,7,OUT-STR-001,2023-02-22,2023-03-10,72,98.4,Standard
SO-2023-00130,1,OUT-STR-001,2023-02-16,2023-03-04,146,98.51,Standard
SO-2023-00131,1,OUT-STR-001,2023-02-07,2023-02-28,183,98.42,Standard
SO-2023-00132,6,IND-WGL-001,2023-02-22,2023-03-04,12,26.02,Urgent
SO-2023-00133,5,OUT-FLD-001,2023-02-08,2023-02-25,142,48.44,Standard
SO-2023-00134,1,OUT-STR-001,2023-02-17,2023-03-09,48,99.38,Standard
SO-2023-00135,1,IND-BLB-001,2023-02-22,2023-03-11,396,3.92,Standard
SO-2023-00136,7,OUT-FLD-001,2023-02-22,2023-03-12,48,48.8,Standard
SO-2023-00137,4,IND-BLB-001,2023-02-07,2023-02-28,375,3.92,Standard
SO-2023-00138,1,IND-HBU-001,2023-02-16,2023-03-06,18,83.18,Standard
SO-2023-00139,5,IND-BLB-001,2023-02-21,2023-03-09,269,3.89,Standard
SO-2023-00140,1,OUT-FLD-001,2023-02-09,2023-02-26,95,47.74,Standard
SO-2023-00141,7,IND-HBU-001,2023-02-20,2023-03-01,60,82.64,Urgent
SO-2023-00142,6,IND-WGL-001,2023-02-10,2023-02-20,85,24.63,Urgent
SO-2023-00143,3,IND-BAT-001,2023-02-15,2023-03-03,301,18.88,Standard
SO-2023-00144,1,IND-BLB-001,2023-02-06,2023-02-21,482,3.92,Standard
SO-2023-00145,5,OUT-STR-001,2023-02-20,2023-03-12,200,92.89,Standard
SO-2023-00146,3,IND-BAT-001,2023-02-13,2023-03-05,161,18.38,Standard
SO-2023-00147,7,IND-HBU-001,2023-02-27,2023-03-13,13,84.06,Standard
SO-2023-00148,2,IND-BAT-001,2023-02-17,2023-03-09,144,18.43,Standard
SO-2023-00149,7,IND-PAN-001,2023-02-01,2023-02-16,266,30.3,Standard
SO-2023-00150,5,IND-BAT-001,2023-03-03,2023-03-23,147,17.9,Standard
SO-2023-00151,4,IND-PAN-001,2023-02-09,2023-02-18,150,30.33,Urgent
SO-2023-00152,5,IND-PAN-001,2023-02-27,2023-03-04,458,30.4,Urgent
SO-2023-00153,7,IND-COB-001,2023-02-08,2023-02-22,53,14.02,Standard
SO-2023-00154,5,IND-BAT-001,2023-02-01,2023-02-18,164,18.1,Standard
SO-2023-00155,5,IND-HBU-001,2023-02-10,2023-03-02,77,80.84,Standard
SO-2023-00156,5,IND-PAN-001,2023-02-20,2023-03-09,423,29.37,Standard
SO-2023-00157,4,IND-BLB-001,2023-02-13,2023-03-05,367,3.92,Standard
SO-2023-00158,5,IND-WGL-001,2023-02-07,2023-02-13,61,25.96,Urgent
SO-2023-00159,5,IND-COB-001,2023-02-28,2023-03-14,34,14.23,Standard
SO-2023-00160,7,IND-BLB-001,2023-02-17,2023-02-22,260,3.99,Urgent
SO-2023-00161,6,IND-BAT-001,2023-02-07,2023-02-14,349,17.51,VIP
SO-2023-00162,3,OUT-FLD-001,2023-02-23,2023-03-12,194,48.74,Standard
SO-2023-00163,7,IND-BAT-001,2023-02-20,2023-03-10,327,18.61,Standard
SO-2023-00164,2,IND-COB-001,2023-02-23,2023-03-13,39,14.42,Standard
SO-2023-00165,4,IND-WGL-001,2023-02-03,2023-02-22,36,26.65,Standard
SO-2023-00166,7,IND-PAN-001,2023-03-03,2023-03-17,229,30.95,Standard
SO-2023-00167,1,OUT-FLD-001,2023-02-03,2023-02-20,165,48.72,Standard
SO-2023-00168,3,IND-BLB-001,2023-02-07,2023-02-21,429,4.0,Standard
SO-2023-00169,3,IND-BAT-001,2023-02-01,2023-02-15,247,18.64,Standard
SO-2023-00170,2,OUT-FLD-001,2023-02-15,2023-03-08,136,48.81,Standard
SO-2023-00171,6,IND-EPL-001,2023-02-02,2023-02-22,444,35.1,Standard
SO-2023-00172,5,IND-BAT-001,2023-02-15,2023-03-03,458,18.31,Standard
SO-2023-00173,5,IND-COB-001,2023-02-24,2023-03-01,21,13.8,VIP
SO-2023-00174,5,IND-WGL-001,2023-02-13,2023-02-19,35,26.55,VIP
SO-2023-00175,4,OUT-STR-001,2023-02-22,2023-03-15,125,98.77,Standard
SO-2023-00176,4,IND-COB-001,2023-02-13,2023-03-05,94,14.25,Standard
SO-2023-00177,3,OUT-FLD-001,2023-02-20,2023-03-02,42,47.55,Urgent
SO-2023-00178,6,IND-BLB-001,2023-03-01,2023-03-15,385,3.97,Standard
SO-2023-00179,1,IND-COB-001,2023-02-06,2023-02-27,84,14.2,Standard
SO-2023-00180,5,IND-WGL-001,2023-02-24,2023-03-15,87,24.67,Standard
SO-2023-00181,3,IND-WGL-001,2023-03-01,2023-03-16,33,26.47,Standard
SO-2023-00182,3,IND-EPL-001,2023-02-16,2023-03-02,378,35.7,Standard
SO-2023-00183,7,OUT-FLD-001,2023-02-28,2023-03-06,110,48.21,VIP
SO-2023-00184,4,IND-EPL-001,2023-02-17,2023-03-06,50,36.48,Standard
SO-2023-00185,1,IND-BLB-001,2023-03-03,2023-03-22,497,3.93,Standard
SO-2023-00186,3,OUT-STR-001,2023-02-17,2023-03-04,105,99.14,Standard
SO-2023-00187,5,IND-WGL-001,2023-02-14,2023-03-01,66,25.16,Standard
SO-2023-00188,3,OUT-FLD-001,2023-02-10,2023-02-26,108,48.46,Standard
SO-2023-00189,4,IND-HBU-001,2023-02-15,2023-03-05,96,83.89,Standard
SO-2023-00190,3,OUT-STR-001,2023-02-03,2023-02-24,73,98.87,Standard
SO-2023-00191,5,OUT-STR-001,2023-02-10,2023-02-17,163,99.91,Urgent
SO-2023-00192,5,IND-HBU-001,2023-02-22,2023-03-10,88,79.46,Standard
SO-2023-00193,2,IND-EPL-001,2023-03-01,2023-03-06,463,36.13,Urgent
SO-2023-00194,7,IND-BLB-001,2023-02-16,2023-03-07,298,3.98,Standard
SO-2023-00195,5,IND-EPL-001,2023-02-02,2023-02-22,90,36.01,Standard
SO-2023-00196,2,IND-BLB-001,2023-02-27,2023-03-05,317,3.98,VIP
SO-2023-00197,2,IND-COB-001,2023-02-22,2023-03-08,83,14.29,Standard
SO-2023-00198,5,OUT-FLD-001,2023-02-22,2023-03-14,147,47.06,Standard
SO-2023-00199,1,OUT-STR-001,2023-02-10,2023-02-19,94,97.07,Urgent
SO-2023-00200,2,IND-WGL-001,2023-02-08,2023-02-18,63,26.27,Urgent
SO-2023-00201,3,IND-WGL-001,2023-02-24,2023-03-03,63,26.1,Urgent
SO-2023-00202,3,IND-PAN-001,2023-02-02,2023-02-21,175,30.49,Standard
SO-2023-00203,4,IND-BLB-001,2023-02-22,2023-03-09,79,3.98,Standard
SO-2023-00204,5,IND-HBU-001,2023-03-03,2023-03-08,57,80.41,Urgent
SO-2023-00205,2,IND-HBU-001,2023-02-27,2023-03-03,44,82.85,VIP
SO-2023-00206,2,IND-PAN-001,2023-02-10,2023-02-24,65,30.97,Standard
SO-2023-00207,5,IND-WGL-001,2023-02-23,2023-03-02,37,26.4,Urgent
SO-2023-00208,3,IND-PAN-001,2023-03-03,2023-03-21,297,30.91,Standard
SO-2023-00209,2,IND-WGL-001,2023-02-21,2023-02-24,68,26.22,VIP
SO-2023-00210,5,IND-PAN-001,2023-02-06,2023-02-12,67,30.56,Urgent
SO-2023-00211,5,IND-HBU-001,2023-02-22,2023-03-03,49,80.34,Urgent
SO-2023-00212,5,IND-HBU-001,2023-02-09,2023-02-27,67,83.29,Standard
SO-2023-00213,5,IND-PAN-001,2023-02-22,2023-02-27,225,29.02,Urgent
SO-2023-00214,1,OUT-FLD-001,2023-02-15,2023-03-07,59,48.18,Standard
SO-2023-00215,1,IND-WGL-001,2023-02-03,2023-02-23,64,26.53,Standard
SO-2023-00216,3,IND-PAN-001,2023-03-03,2023-03-17,423,30.72,Standard
SO-2023-00217,5,IND-EPL-001,2023-03-03,2023-03-20,431,34.44,Standard
SO-2023-00218,5,IND-HBU-001,2023-02-03,2023-02-24,19,78.58,Standard
SO-2023-00219,5,IND-EPL-001,2023-02-15,2023-03-04,485,36.56,Standard
SO-2023-00220,3,OUT-STR-001,2023-02-08,2023-02-24,194,97.25,Standard
SO-2023-00221,4,IND-COB-001,2023-02-24,2023-03-13,30,14.41,Standard
SO-2023-00222,3,OUT-STR-001,2023-02-27,2023-03-16,48,98.08,Standard
SO-2023-00223,5,OUT-STR-001,2023-02-22,2023-02-27,149,92.74,VIP
SO-2023-00224,7,IND-WGL-001,2023-03-02,2023-03-20,58,26.59,Standard
SO-2023-00225,4,IND-PAN-001,2023-02-13,2023-03-05,418,30.74,Standard
SO-2023-00226,7,IND-HBU-001,2023-02-15,2023-02-20,28,84.36,Urgent
SO-2023-00227,6,IND-BAT-001,2023-03-02,2023-03-18,192,17.77,Standard
SO-2023-00228,7,OUT-STR-001,2023-02-27,2023-03-05,144,98.78,Urgent
SO-2023-00229,7,IND-WGL-001,2023-03-03,2023-03-19,41,26.12,Standard
SO-2023-00230,7,IND-HBU-001,2023-02-01,2023-02-11,90,83.08,Urgent
SO-2023-00231,5,IND-PAN-001,2023-02-10,2023-02-15,168,29.35,Urgent
SO-2023-00232,4,IND-WGL-001,2023-02-21,2023-03-11,49,26.02,Standard
SO-2023-00233,3,OUT-STR-001,2023-02-07,2023-02-12,106,99.18,Urgent
SO-2023-00234,2,OUT-STR-001,2023-02-16,2023-03-04,165,98.66,Standard
SO-2023-00235,3,OUT-FLD-001,2023-02-08,2023-02-22,126,48.35,Standard
SO-2023-00236,7,OUT-FLD-001,2023-02-13,2023-02-21,55,47.81,Urgent
SO-2023-00237,1,IND-COB-001,2023-02-13,2023-03-05,19,14.26,Standard
SO-2023-00238,5,IND-BAT-001,2023-02-09,2023-03-02,360,18.65,Standard
SO-2023-00239,1,OUT-STR-001,2023-02-13,2023-02-28,137,97.13,Standard
SO-2023-00240,1,IND-PAN-001,2023-02-22,2023-03-11,444,30.73,Standard
SO-2023-00241,6,IND-PAN-001,2023-02-03,2023-02-08,460,29.83,Urgent
SO-2023-00242,7,IND-HBU-001,2023-02-02,2023-02-20,23,83.19,Standard
SO-2023-00243,6,OUT-STR-001,2023-02-03,2023-02-23,140,92.19,Standard
SO-2023-00244,1,IND-EPL-001,2023-02-17,2023-03-10,202,36.52,Standard
SO-2023-00245,5,OUT-FLD-001,2023-02-17,2023-03-05,176,46.12,Standard
SO-2023-00246,1,IND-COB-001,2023-02-28,2023-03-14,56,14.38,Standard
SO-2023-00247,5,IND-EPL-001,2023-02-14,2023-03-02,494,35.69,Standard
SO-2023-00248,3,IND-EPL-001,2023-02-08,2023-02-14,337,35.7,Urgent
SO-2023-00249,2,IND-WGL-001,2023-02-03,2023-02-17,84,26.61,Standard
SO-2023-00250,7,IND-EPL-001,2023-02-27,2023-03-19,199,36.28,Standard
SO-2023-00251,5,IND-BAT-001,2023-02-07,2023-02-22,270,18.25,Standard
SO-2023-00252,4,IND-HBU-001,2023-03-02,2023-03-19,78,83.58,Standard
SO-2023-00253,1,OUT-STR-001,2023-02-09,2023-02-25,149,99.87,Standard
SO-2023-00254,1,IND-EPL-001,2023-02-20,2023-03-11,498,35.6,Standard
SO-2023-00255,3,IND-BAT-001,2023-02-22,2023-02-28,379,18.85,Urgent
SO-2023-00256,1,OUT-FLD-001,2023-02-24,2023-03-14,30,47.48,Standard
SO-2023-00257,4,IND-HBU-001,2023-02-08,2023-03-01,66,82.25,Standard
SO-2023-00258,1,OUT-FLD-001,2023-02-22,2023-03-11,41,47.88,Standard
SO-2023-00259,2,IND-WGL-001,2023-03-27,2023-04-14,16,25.98,Standard
SO-2023-00260,1,IND-BAT-001,2023-03-24,2023-03-29,454,18.88,Urgent
SO-2023-00261,7,IND-BAT-001,2023-03-03,2023-03-19,147,18.7,Standard
SO-2023-00262,2,IND-WGL-001,2023-03-13,2023-03-23,41,26.4,Urgent
SO-2023-00263,2,OUT-FLD-001,2023-03-23,2023-04-11,136,48.83,Standard
SO-2023-00264,5,IND-EPL-001,2023-03-14,2023-04-04,240,36.32,Standard
SO-2023-00265,2,IND-BLB-001,2023-03-07,2023-03-21,492,3.9,Standard
SO-2023-00266,5,IND-HBU-001,2023-03-15,2023-04-05,28,83.35,Standard
SO-2023-00267,7,OUT-FLD-001,2023-03-17,2023-04-01,153,48.55,Standard
SO-2023-00268,2,IND-EPL-001,2023-03-06,2023-03-22,66,36.24,Standard
SO-2023-00269,2,OUT-FLD-001,2023-03-01,2023-03-15,34,48.53,Standard
SO-2023-00270,2,OUT-FLD-001,2023-03-09,2023-03-15,42,48.89,Urgent
SO-2023-00271,5,IND-EPL-001,2023-03-06,2023-03-25,361,36.54,Standard
SO-2023-00272,3,IND-COB-001,2023-03-24,2023-04-11,31,14.33,Standard
SO-2023-00273,6,IND-BAT-001,2023-03-17,2023-03-31,317,17.5,Standard
SO-2023-00274,1,OUT-STR-001,2023-03-15,2023-04-02,199,98.7,Standard
SO-2023-00275,7,IND-HBU-001,2023-03-14,2023-04-03,100,83.79,Standard
SO-2023-00276,5,IND-HBU-001,2023-03-21,2023-03-28,14,80.22,Urgent
SO-2023-00277,3,IND-COB-001,2023-03-23,2023-04-11,30,14.17,Standard
SO-2023-00278,2,IND-WGL-001,2023-03-09,2023-03-26,91,25.96,Standard
SO-2023-00279,5,IND-BAT-001,2023-03-22,2023-04-05,388,17.52,Standard
SO-2023-00280,5,OUT-STR-001,2023-03-09,2023-03-26,140,99.56,Standard
SO-2023-00281,1,OUT-STR-001,2023-03-14,2023-03-30,64,97.32,Standard
SO-2023-00282,2,IND-HBU-001,2023-03-01,2023-03-11,13,82.43,Urgent
SO-2023-00283,3,OUT-STR-001,2023-03-28,2023-04-06,96,97.99,Urgent
SO-2023-00284,1,OUT-STR-001,2023-03-03,2023-03-22,71,99.32,Standard
SO-2023-00285,3,IND-HBU-001,2023-03-13,2023-03-22,11,84.02,Urgent
SO-2023-00286,5,OUT-STR-001,2023-03-22,2023-04-10,23,97.94,Standard
SO-2023-00287,4,IND-BAT-001,2023-03-28,2023-03-31,411,18.6,VIP
SO-2023-00288,7,IND-PAN-001,2023-03-20,2023-03-29,495,30.47,Urgent
SO-2023-00289,2,IND-BAT-001,2023-03-28,2023-04-18,437,18.66,Standard
SO-2023-00290,4,IND-BAT-001,2023-03-24,2023-04-10,399,18.68,Standard
SO-2023-00291,1,IND-BAT-001,2023-03-17,2023-03-22,322,18.52,VIP
SO-2023-00292,7,OUT-FLD-001,2023-03-31,2023-04-18,174,48.43,Standard
SO-2023-00293,7,IND-BLB-001,2023-03-07,2023-03-25,423,3.99,Standard
SO-2023-00294,5,IND-HBU-001,2023-03-15,2023-03-30,75,79.34,Standard
SO-2023-00295,7,IND-WGL-001,2023-03-15,2023-04-01,30,26.17,Standard
SO-2023-00296,5,IND-BAT-001,2023-03-01,2023-03-15,72,17.86,Standard
SO-2023-00297,7,IND-BAT-001,2023-03-10,2023-03-25,217,18.66,Standard
SO-2023-00298,1,IND-EPL-001,2023-03-08,2023-03-27,321,35.97,Standard
SO-2023-00299,4,IND-BLB-001,2023-03-21,2023-04-10,55,3.98,Standard
SO-2023-00300,2,IND-COB-001,2023-03-10,2023-03-16,22,14.15,VIP
SO-2023-00301,5,OUT-STR-001,2023-03-21,2023-04-11,196,93.95,Standard
SO-2023-00302,2,OUT-FLD-001,2023-03-02,2023-03-12,101,48.18,Urgent
SO-2023-00303,2,IND-BLB-001,2023-03-13,2023-03-30,63,3.95,Standard
SO-2023-00304,4,IND-WGL-001,2023-03-02,2023-03-18,70,26.03,Standard
SO-2023-00305,4,OUT-FLD-001,2023-03-15,2023-04-05,21,47.53,Standard
SO-2023-00306,2,IND-BLB-001,2023-03-22,2023-04-09,275,3.92,Standard
SO-2023-00307,7,IND-EPL-001,2023-03-23,2023-04-13,485,36.16,Standard
SO-2023-00308,6,OUT-STR-001,2023-03-06,2023-03-27,198,94.87,Standard
SO-2023-00309,2,OUT-STR-001,2023-03-10,2023-03-29,67,97.03,Standard
SO-2023-00310,1,IND-BLB-001,2023-03-23,2023-04-11,51,3.93,Standard
SO-2023-00311,5,IND-HBU-001,2023-03-15,2023-03-20,88,82.26,VIP
SO-2023-00312,5,IND-BAT-001,2023-03-15,2023-04-01,248,18.12,Standard
SO-2023-00313,4,OUT-STR-001,2023-03-15,2023-03-22,51,98.93,VIP
SO-2023-00314,1,IND-PAN-001,2023-03-14,2023-03-17,159,30.71,VIP
