prod_log_id,date,shift_id,line_id,sku,planned_units,actual_units,planned_runtime_mins,actual_runtime_mins,downtime_mins,downtime_reason,ideal_cycle_time_sec,planned_operators,actual_operators,overtime_hours
22,2023-01-05,2,2,IND-HBU-001,360,313,450,411,39,,65,6,5,3.4
23,2023-01-05,1,3,IND-BAT-001,836,494,450,296,154,PCB_SHORTAGE_SUPPLIER,28,5,4,4.3
24,2023-01-05,2,3,IND-BAT-001,836,721,450,433,17,,28,5,4,0.0
25,2023-01-06,1,1,IND-BAT-001,836,610,450,333,117,MANPOWER_SHORT,28,8,6,3.8
26,2023-01-06,2,1,IND-BAT-001,836,496,450,286,164,PCB_SHORTAGE_SUPPLIER,28,8,6,5.9
27,2023-01-06,1,2,IND-HBU-001,360,261,450,350,100,MACHINE_FAULT,65,6,5,2.7
28,2023-01-06,2,2,IND-HBU-001,360,255,450,355,95,MATERIAL_SHORTAGE_INTERNAL,65,6,5,0.0
29,2023-01-06,1,3,IND-HBU-001,360,292,450,384,66,CHANGEOVER,65,5,4,0.0
30,2023-01-06,2,3,IND-HBU-001,360,306,450,440,10,,65,5,4,1.9
31,2023-01-07,1,1,IND-BAT-001,836,669,450,348,102,MANPOWER_SHORT,28,8,6,2.0
32,2023-01-07,1,2,IND-HBU-001,360,294,450,386,64,MANPOWER_SHORT,65,6,5,1.0
33,2023-01-07,1,3,IND-HBU-001,360,280,450,377,73,MATERIAL_SHORTAGE_INTERNAL,65,5,4,1.7
34,2023-01-09,1,1,IND-BAT-001,836,771,450,416,34,,28,8,8,0.0
35,2023-01-09,2,1,IND-BAT-001,836,752,450,424,26,,28,8,6,5.5
36,2023-01-09,1,2,IND-HBU-001,360,332,450,429,21,,65,6,5,0.0
37,2023-01-09,2,2,IND-HBU-001,360,303,450,400,50,LED_CHIP_SHORTAGE_SUPPLIER,65,6,5,1.3
38,2023-01-09,1,3,IND-HBU-001,360,289,450,377,73,MATERIAL_SHORTAGE_INTERNAL,65,5,4,0.0
39,2023-01-09,2,3,IND-HBU-001,360,315,450,397,53,,65,5,4,4.4
40,2023-01-10,1,1,IND-BAT-001,836,721,450,383,67,MACHINE_FAULT,28,8,7,2.4
41,2023-01-10,2,1,IND-BAT-001,836,475,450,275,175,PCB_SHORTAGE_SUPPLIER,28,8,6,0.0
42,2023-01-10,1,2,IND-HBU-001,360,305,450,416,34,,65,6,5,2.8
43,2023-01-10,2,2,IND-PAN-001,616,445,450,321,129,CHANGEOVER,38,6,5,0.0
44,2023-01-10,1,3,IND-HBU-001,360,257,450,344,106,MANPOWER_SHORT,65,5,4,0.0
45,2023-01-10,2,3,IND-HBU-001,360,299,450,417,33,,65,5,4,1.6
46,2023-01-11,1,1,IND-COB-001,1064,863,450,367,83,CHANGEOVER,22,8,6,6.2
47,2023-01-11,2,1,IND-COB-001,1064,633,450,314,136,LED_CHIP_SHORTAGE_SUPPLIER,22,8,7,0.0
48,2023-01-11,1,2,IND-PAN-001,616,454,450,358,92,LED_CHIP_SHORTAGE_SUPPLIER,38,6,5,3.9
49,2023-01-11,2,2,IND-PAN-001,616,546,450,434,16,,38,6,5,0.0
50,2023-01-11,1,3,IND-HBU-001,360,288,450,379,71,QUALITY_HOLD,65,5,4,0.0
51,2023-01-11,2,3,OUT-FLD-001,425,293,450,357,93,CHANGEOVER,55,5,4,0.0
52,2023-01-12,1,1,IND-COB-001,1064,978,450,411,39,,22,8,6,0.0
53,2023-01-12,2,1,IND-COB-001,1064,887,450,414,36,,22,8,6,0.0
54,2023-01-12,1,2,IND-PAN-001,616,507,450,412,38,,38,6,5,2.9
55,2023-01-12,2,2,IND-PAN-001,616,521,450,417,33,,38,6,5,4.1
56,2023-01-12,1,3,OUT-FLD-001,425,383,450,415,35,,55,5,4,0.0
57,2023-01-12,2,3,OUT-FLD-001,425,406,450,435,15,,55,5,4,3.0
58,2023-01-13,1,1,IND-COB-001,1064,854,450,355,95,MANPOWER_SHORT,22,8,7,2.2
59,2023-01-13,2,1,IND-COB-001,1064,867,450,402,48,MANPOWER_SHORT,22,8,6,3.6
60,2023-01-13,1,2,IND-PAN-001,616,565,450,434,16,,38,6,5,0.0
61,2023-01-13,2,2,IND-PAN-001,616,482,450,370,80,MATERIAL_SHORTAGE_INTERNAL,38,6,5,0.0
62,2023-01-13,1,3,OUT-FLD-001,425,340,450,391,59,SCHEDULE_CHANGE_MGMT,55,5,4,1.5
63,2023-01-13,2,3,OUT-FLD-001,425,321,450,347,103,MANPOWER_SHORT,55,5,4,0.0
64,2023-01-14,1,1,IND-COB-001,1064,998,450,423,27,,22,8,6,0.0
65,2023-01-14,1,2,IND-PAN-001,616,544,450,411,39,MANPOWER_SHORT,38,6,4,6.3
66,2023-01-14,1,3,OUT-FLD-001,425,399,450,424,26,,55,5,4,1.7
67,2023-01-16,1,1,IND-BAT-001,836,719,450,404,46,CHANGEOVER,28,8,7,1.6
68,2023-01-16,2,1,IND-BAT-001,836,670,450,400,50,MATERIAL_SHORTAGE_INTERNAL,28,8,7,0.0
69,2023-01-16,1,2,IND-PAN-001,616,514,450,405,45,SCHEDULE_CHANGE_MGMT,38,6,5,3.6
70,2023-01-16,2,2,OUT-STR-001,325,228,450,331,119,CHANGEOVER,72,6,5,3.4
71,2023-01-16,1,3,IND-COB-001,1064,851,450,376,74,CHANGEOVER,22,5,4,0.0
72,2023-01-16,2,3,IND-COB-001,1064,856,450,376,74,MANPOWER_SHORT,22,5,4,3.4
73,2023-01-17,1,1,IND-BAT-001,836,684,450,414,36,,28,8,6,0.0
74,2023-01-17,2,1,IND-BAT-001,836,674,450,435,15,,28,8,7,0.0
75,2023-01-17,1,2,OUT-STR-001,325,253,450,361,89,PCB_SHORTAGE_SUPPLIER,72,6,5,0.0
76,2023-01-17,2,2,OUT-STR-001,325,266,450,425,25,MANPOWER_SHORT,72,6,4,0.0
77,2023-01-17,1,3,IND-COB-001,1064,943,450,391,59,CLEANING_MAINTENANCE,22,5,4,0.0
78,2023-01-17,2,3,IND-COB-001,1064,840,450,413,37,,22,5,4,1.4
79,2023-01-18,1,1,IND-BAT-001,836,768,450,444,6,,28,8,7,0.0
80,2023-01-18,2,1,IND-BAT-001,836,675,450,384,66,MACHINE_FAULT,28,8,7,2.3
81,2023-01-18,1,2,OUT-STR-001,325,275,450,417,33,,72,6,5,0.0
82,2023-01-18,2,2,OUT-STR-001,325,254,450,378,72,SCHEDULE_CHANGE_MGMT,72,6,5,1.1
83,2023-01-18,1,3,IND-COB-001,1064,953,450,416,34,,22,5,4,1.5
84,2023-01-18,2,3,IND-HBU-001,360,226,450,294,156,CHANGEOVER,65,5,4,2.8
85,2023-01-19,1,1,IND-BLB-001,1950,1293,450,338,112,CHANGEOVER,12,8,6,0.0
86,2023-01-19,2,1,IND-BLB-001,1950,1691,450,433,17,,12,8,6,2.9
87,2023-01-19,1,2,OUT-STR-001,325,276,450,400,50,,72,6,5,2.4
88,2023-01-19,2,2,OUT-STR-001,325,287,450,432,18,,72,6,5,2.7
89,2023-01-19,1,3,IND-HBU-001,360,320,450,422,28,,65,5,4,4.8
90,2023-01-19,2,3,IND-HBU-001,360,305,450,386,64,MANPOWER_SHORT,65,5,4,1.4
91,2023-01-20,1,1,IND-BLB-001,1950,1777,450,417,33,,12,8,6,3.3
92,2023-01-20,2,1,IND-BLB-001,1950,1655,450,413,37,,12,8,6,2.9
93,2023-01-20,1,2,OUT-STR-001,325,313,450,426,24,,72,6,5,2.4
94,2023-01-20,2,2,OUT-STR-001,325,273,450,394,56,QUALITY_HOLD,72,6,5,1.0
95,2023-01-20,1,3,IND-HBU-001,360,244,450,356,94,MANPOWER_SHORT,65,5,4,3.3
96,2023-01-20,2,3,IND-HBU-001,360,182,450,247,203,LED_CHIP_SHORTAGE_SUPPLIER,65,5,4,0.0
97,2023-01-21,1,1,IND-BLB-001,1950,1447,450,365,85,SCHEDULE_CHANGE_MGMT,12,8,6,5.2
98,2023-01-21,1,2,OUT-FLD-001,425,280,450,328,122,CHANGEOVER,55,6,5,0.0
99,2023-01-21,1,3,IND-HBU-001,360,307,450,400,50,,65,5,4,3.8
100,2023-01-23,1,1,IND-BLB-001,1950,1809,450,432,18,,12,8,7,3.1
101,2023-01-23,2,1,IND-BLB-001,1950,1775,450,432,18,,12,8,7,2.2
102,2023-01-23,1,2,OUT-FLD-001,425,393,450,424,26,,55,6,5,0.0
103,2023-01-23,2,2,OUT-FLD-001,425,253,450,301,149,LED_CHIP_SHORTAGE_SUPPLIER,55,6,5,3.1
104,2023-01-23,1,3,IND-HBU-001,360,319,450,422,28,,65,5,4,1.0
105,2023-01-23,2,3,IND-WGL-001,668,439,450,323,127,CHANGEOVER,35,5,4,4.4
106,2023-01-24,1,1,IND-BLB-001,1950,1350,450,321,129,PCB_SHORTAGE_SUPPLIER,12,8,7,2.5
107,2023-01-24,2,1,IND-BLB-001,1950,1632,450,416,34,MANPOWER_SHORT,12,8,5,0.0
108,2023-01-24,1,2,OUT-FLD-001,425,276,450,303,147,PCB_SHORTAGE_SUPPLIER,55,6,5,0.0
109,2023-01-24,2,2,OUT-FLD-001,425,363,450,390,60,SCHEDULE_CHANGE_MGMT,55,6,5,0.0
110,2023-01-24,1,3,IND-WGL-001,668,548,450,376,74,MATERIAL_SHORTAGE_INTERNAL,35,5,4,4.8
111,2023-01-24,2,3,IND-WGL-001,668,581,450,432,18,,35,5,4,1.7
112,2023-01-25,1,1,IND-BLB-001,1950,1565,450,376,74,MANPOWER_SHORT,12,8,6,1.8
113,2023-01-25,2,1,IND-PAN-001,616,437,450,362,88,CHANGEOVER,38,8,6,0.0
114,2023-01-25,1,2,IND-PAN-001,616,537,450,418,32,CHANGEOVER,38,6,5,1.7
115,2023-01-25,2,2,IND-PAN-001,616,554,450,421,29,,38,6,5,2.2
116,2023-01-25,1,3,IND-WGL-001,668,374,450,279,171,POWER_OUTAGE,35,5,4,4.4
117,2023-01-25,2,3,IND-WGL-001,668,494,450,331,119,MANPOWER_SHORT,35,5,4,2.0
118,2023-01-26,1,1,IND-PAN-001,616,535,450,420,30,,38,8,6,3.7
119,2023-01-26,2,1,IND-PAN-001,616,474,450,351,99,MANPOWER_SHORT,38,8,6,0.0
120,2023-01-26,1,2,IND-PAN-001,616,447,450,336,114,MANPOWER_SHORT,38,6,5,2.9
121,2023-01-26,2,2,IND-PAN-001,616,430,450,407,43,MANPOWER_SHORT,38,6,5,1.3
122,2023-01-26,1,3,IND-COB-001,1064,770,450,339,111,CHANGEOVER,22,5,4,0.0
123,2023-01-26,2,3,IND-COB-001,1064,823,450,376,74,MACHINE_FAULT,22,5,4,2.8
124,2023-01-27,1,1,IND-PAN-001,616,564,450,419,31,,38,8,6,4.9
125,2023-01-27,2,1,IND-PAN-001,616,576,450,436,14,,38,8,7,0.0
126,2023-01-27,1,2,IND-PAN-001,616,547,450,409,41,MANPOWER_SHORT,38,6,4,7.6
127,2023-01-27,2,2,IND-PAN-001,616,355,450,278,172,POWER_OUTAGE,38,6,5,0.0
128,2023-01-27,1,3,IND-COB-001,1064,938,450,414,36,,22,5,4,2.6
129,2023-01-27,2,3,IND-COB-001,1064,827,450,366,84,MACHINE_FAULT,22,5,4,1.8
130,2023-01-28,1,1,IND-PAN-001,616,488,450,379,71,MACHINE_FAULT,38,8,6,4.6
131,2023-01-28,1,2,IND-WGL-001,668,566,450,395,55,CHANGEOVER,35,6,5,4.1
132,2023-01-28,1,3,IND-HBU-001,360,275,450,368,82,CHANGEOVER,65,5,4,0.0
133,2023-01-30,1,1,IND-PAN-001,616,523,450,410,40,SCHEDULE_CHANGE_MGMT,38,8,7,2.9
134,2023-01-30,2,1,IND-COB-001,1064,991,450,396,54,CHANGEOVER,22,8,7,1.2
135,2023-01-30,1,2,IND-WGL-001,668,532,450,380,70,SCHEDULE_CHANGE_MGMT,35,6,5,0.0
136,2023-01-30,2,2,IND-WGL-001,668,349,450,252,198,PCB_SHORTAGE_SUPPLIER,35,6,5,2.1
137,2023-01-30,1,3,IND-HBU-001,360,303,450,369,81,MATERIAL_SHORTAGE_INTERNAL,65,5,4,1.6
138,2023-01-30,2,3,IND-HBU-001,360,296,450,424,26,,65,5,4,0.0
139,2023-01-31,1,1,IND-COB-001,1064,996,450,435,15,,22,8,7,0.0
140,2023-01-31,2,1,IND-COB-001,1064,975,450,438,12,,22,8,7,2.4
141,2023-01-31,1,2,IND-WGL-001,668,499,450,368,82,MATERIAL_SHORTAGE_INTERNAL,35,6,5,0.0
142,2023-01-31,2,2,IND-WGL-001,668,482,450,372,78,MATERIAL_SHORTAGE_INTERNAL,35,6,4,0.0
143,2023-01-31,1,3,IND-HBU-001,360,284,450,362,88,MANPOWER_SHORT,65,5,4,2.7
144,2023-01-31,2,3,IND-WGL-001,668,457,450,333,117,CHANGEOVER,35,5,4,0.0
145,2023-02-01,1,1,IND-COB-001,1064,996,450,434,16,,22,8,7,0.0
146,2023-02-01,2,1,IND-COB-001,1064,911,450,419,31,MATERIAL_SHORTAGE_INTERNAL,22,8,7,0.0
147,2023-02-01,1,2,IND-WGL-001,668,509,450,340,110,MANPOWER_SHORT,35,6,5,3.0
148,2023-02-01,2,2,IND-WGL-001,668,505,450,411,39,,35,6,5,1.6
149,2023-02-01,1,3,IND-WGL-001,668,590,450,431,19,,35,5,4,0.0
150,2023-02-01,2,3,IND-WGL-001,668,599,450,424,26,SCHEDULE_CHANGE_MGMT,35,5,5,0.0
151,2023-02-02,1,1,IND-EPL-001,557,396,450,348,102,CHANGEOVER,42,8,6,1.3
152,2023-02-02,2,1,IND-EPL-001,557,477,450,416,34,,42,8,6,3.6
153,2023-02-02,1,2,IND-WGL-001,668,623,450,406,44,SCHEDULE_CHANGE_MGMT,35,6,5,1.5
154,2023-02-02,2,2,OUT-FLD-001,425,306,450,340,110,CHANGEOVER,55,6,5,0.0
155,2023-02-02,1,3,IND-WGL-001,668,579,450,434,16,,35,5,4,3.5
156,2023-02-02,2,3,IND-WGL-001,668,568,450,400,50,,35,5,4,0.0
157,2023-02-03,1,1,IND-EPL-001,557,350,450,304,146,POWER_OUTAGE,42,8,6,0.0
158,2023-02-03,2,1,IND-EPL-001,557,456,450,383,67,SCHEDULE_CHANGE_MGMT,42,8,6,5.6
159,2023-02-03,1,2,OUT-FLD-001,425,314,450,378,72,MATERIAL_SHORTAGE_INTERNAL,55,6,5,1.9
160,2023-02-03,2,2,OUT-FLD-001,425,344,450,373,77,MACHINE_FAULT,55,6,5,1.1
161,2023-02-03,1,3,IND-WGL-001,668,515,450,363,87,MANPOWER_SHORT,35,5,4,0.0
162,2023-02-03,2,3,IND-WGL-001,668,601,450,403,47,,35,5,4,4.7
163,2023-02-04,1,1,IND-EPL-001,557,448,450,358,92,MACHINE_FAULT,42,8,6,0.0
164,2023-02-04,1,2,OUT-FLD-001,425,329,450,335,115,PCB_SHORTAGE_SUPPLIER,55,6,4,0.0
165,2023-02-04,1,3,IND-WGL-001,668,630,450,436,14,,35,5,4,0.0
166,2023-02-06,1,1,IND-COB-001,1064,665,450,298,152,CHANGEOVER,22,8,6,0.0
167,2023-02-06,2,1,IND-COB-001,1064,811,450,380,70,MATERIAL_SHORTAGE_INTERNAL,22,8,6,2.8
168,2023-02-06,1,2,OUT-FLD-001,425,345,450,387,63,MATERIAL_SHORTAGE_INTERNAL,55,6,6,0.0
169,2023-02-06,2,2,OUT-FLD-001,425,393,450,422,28,,55,6,5,1.5
170,2023-02-06,1,3,IND-WGL-001,668,492,450,338,112,MANPOWER_SHORT,35,5,4,0.0
171,2023-02-06,2,3,IND-PAN-001,616,388,450,319,131,CHANGEOVER,38,5,4,0.0
172,2023-02-07,1,1,IND-COB-001,1064,945,450,402,48,QUALITY_HOLD,22,8,7,0.0
173,2023-02-07,2,1,IND-COB-001,1064,859,450,392,58,SCHEDULE_CHANGE_MGMT,22,8,7,1.7
174,2023-02-07,1,2,OUT-FLD-001,425,368,450,380,70,MANPOWER_SHORT,55,6,5,0.0
175,2023-02-07,2,2,OUT-FLD-001,425,354,450,432,18,,55,6,5,3.5
176,2023-02-07,1,3,IND-PAN-001,616,568,450,408,42,,38,5,4,2.8
177,2023-02-07,2,3,IND-PAN-001,616,481,450,393,57,MANPOWER_SHORT,38,5,4,0.0
178,2023-02-08,1,1,IND-COB-001,1064,810,450,344,106,MANPOWER_SHORT,22,8,7,3.0
179,2023-02-08,2,1,IND-COB-001,1064,826,450,362,88,MANPOWER_SHORT,22,8,6,0.0
180,2023-02-08,1,2,OUT-FLD-001,425,225,450,233,217,PCB_SHORTAGE_SUPPLIER,55,6,5,1.1
181,2023-02-08,2,2,IND-WGL-001,668,473,450,324,126,CHANGEOVER,35,6,5,0.0
182,2023-02-08,1,3,IND-PAN-001,616,513,450,392,58,MANPOWER_SHORT,38,5,4,5.0
183,2023-02-08,2,3,IND-PAN-001,616,467,450,367,83,MANPOWER_SHORT,38,5,4,4.9
184,2023-02-09,1,1,IND-COB-001,1064,834,450,366,84,MANPOWER_SHORT,22,8,7,0.0
185,2023-02-09,2,1,IND-COB-001,1064,971,450,433,17,,22,8,7,2.3
186,2023-02-09,1,2,IND-WGL-001,668,515,450,383,67,MATERIAL_SHORTAGE_INTERNAL,35,6,5,1.6
187,2023-02-09,2,2,IND-WGL-001,668,541,450,397,53,MACHINE_FAULT,35,6,4,8.0
188,2023-02-09,1,3,IND-PAN-001,616,510,450,374,76,SCHEDULE_CHANGE_MGMT,38,5,4,2.4
189,2023-02-09,2,3,IND-PAN-001,616,473,450,389,61,MATERIAL_SHORTAGE_INTERNAL,38,5,4,2.9
190,2023-02-10,1,1,IND-COB-001,1064,955,450,442,8,,22,8,7,0.0
191,2023-02-10,2,1,IND-PAN-001,616,461,450,325,125,CHANGEOVER,38,8,7,1.0
192,2023-02-10,1,2,IND-WGL-001,668,545,450,358,92,MANPOWER_SHORT,35,6,5,0.0
193,2023-02-10,2,2,IND-WGL-001,668,579,450,425,25,MANPOWER_SHORT,35,6,4,0.0
194,2023-02-10,1,3,IND-PAN-001,616,496,450,372,78,SCHEDULE_CHANGE_MGMT,38,5,4,0.0
195,2023-02-10,2,3,IND-PAN-001,616,487,450,353,97,PCB_SHORTAGE_SUPPLIER,38,5,4,0.0
196,2023-02-11,1,1,IND-PAN-001,616,489,450,404,46,SCHEDULE_CHANGE_MGMT,38,8,7,0.0
197,2023-02-11,1,2,IND-WGL-001,668,499,450,373,77,MANPOWER_SHORT,35,6,5,0.0
198,2023-02-11,1,3,OUT-FLD-001,425,308,450,350,100,CHANGEOVER,55,5,4,0.0
199,2023-02-13,1,1,IND-PAN-001,616,499,450,371,79,MANPOWER_SHORT,38,8,7,2.7
200,2023-02-13,2,1,IND-PAN-001,616,561,450,432,18,,38,8,6,3.8
201,2023-02-13,1,2,IND-WGL-001,668,526,450,386,64,PCB_SHORTAGE_SUPPLIER,35,6,5,2.4
202,2023-02-13,2,2,IND-WGL-001,668,601,450,421,29,,35,6,5,3.9
203,2023-02-13,1,3,OUT-FLD-001,425,430,450,441,9,,55,5,5,0.0
204,2023-02-13,2,3,OUT-FLD-001,425,343,450,391,59,MATERIAL_SHORTAGE_INTERNAL,55,5,4,0.0
205,2023-02-14,1,1,IND-PAN-001,616,527,450,388,62,MANPOWER_SHORT,38,8,7,2.7
206,2023-02-14,2,1,IND-PAN-001,616,508,450,372,78,MACHINE_FAULT,38,8,7,0.0
207,2023-02-14,1,2,IND-WGL-001,668,510,450,371,79,MANPOWER_SHORT,35,6,5,0.0
208,2023-02-14,2,2,IND-EPL-001,557,435,450,364,86,CHANGEOVER,42,6,5,0.0
209,2023-02-14,1,3,OUT-FLD-001,425,340,450,378,72,SCHEDULE_CHANGE_MGMT,55,5,4,0.0
210,2023-02-14,2,3,OUT-FLD-001,425,362,450,414,36,,55,5,4,4.2
211,2023-02-15,1,1,IND-COB-001,1064,944,450,380,70,CHANGEOVER,22,8,7,0.0
212,2023-02-15,2,1,IND-COB-001,1064,882,450,414,36,,22,8,6,6.1
213,2023-02-15,1,2,IND-EPL-001,557,536,450,429,21,,42,6,5,0.0
214,2023-02-15,2,2,IND-EPL-001,557,417,450,370,80,MACHINE_FAULT,42,6,5,3.7
215,2023-02-15,1,3,OUT-FLD-001,425,358,450,427,23,,55,5,4,0.0
216,2023-02-15,2,3,OUT-FLD-001,425,212,450,237,213,PCB_SHORTAGE_SUPPLIER,55,5,4,0.0
217,2023-02-16,1,1,IND-COB-001,1064,1024,450,415,35,,22,8,6,4.5
218,2023-02-16,2,1,IND-BAT-001,836,737,450,422,28,CHANGEOVER,28,8,7,0.0
219,2023-02-16,1,2,IND-EPL-001,557,427,450,384,66,MANPOWER_SHORT,42,6,5,4.1
220,2023-02-16,2,2,IND-PAN-001,616,485,450,377,73,CHANGEOVER,38,6,5,3.2
221,2023-02-16,1,3,OUT-FLD-001,425,328,450,368,82,MANPOWER_SHORT,55,5,4,4.4
222,2023-02-16,2,3,IND-HBU-001,360,305,450,390,60,CHANGEOVER,65,5,4,0.0
223,2023-02-17,1,1,IND-BAT-001,836,760,450,415,35,,28,8,6,0.0
224,2023-02-17,2,1,IND-BAT-001,836,688,450,399,51,MACHINE_FAULT,28,8,8,0.0
225,2023-02-17,1,2,IND-PAN-001,616,544,450,364,86,MANPOWER_SHORT,38,6,5,3.6
226,2023-02-17,2,2,IND-PAN-001,616,457,450,380,70,SCHEDULE_CHANGE_MGMT,38,6,5,2.8
227,2023-02-17,1,3,IND-HBU-001,360,327,450,405,45,SCHEDULE_CHANGE_MGMT,65,5,5,0.0
228,2023-02-17,2,3,IND-HBU-001,360,259,450,346,104,MANPOWER_SHORT,65,5,4,4.1
229,2023-02-18,1,1,IND-BAT-001,836,729,450,422,28,,28,8,6,4.4
230,2023-02-18,1,2,OUT-FLD-001,425,367,450,402,48,CHANGEOVER,55,6,5,0.0
231,2023-02-18,1,3,IND-HBU-001,360,299,450,377,73,MANPOWER_SHORT,65,5,4,0.0
232,2023-02-20,1,1,IND-BAT-001,836,811,450,435,15,,28,8,7,1.9
233,2023-02-20,2,1,IND-BAT-001,836,712,450,396,54,CLEANING_MAINTENANCE,28,8,6,2.9
234,2023-02-20,1,2,OUT-FLD-001,425,311,450,357,93,MACHINE_FAULT,55,6,5,1.3
235,2023-02-20,2,2,OUT-FLD-001,425,334,450,383,67,MANPOWER_SHORT,55,6,5,1.4
236,2023-02-20,1,3,IND-WGL-001,668,540,450,360,90,CHANGEOVER,35,5,4,3.4
237,2023-02-20,2,3,IND-WGL-001,668,410,450,298,152,PCB_SHORTAGE_SUPPLIER,35,5,4,0.0
238,2023-02-21,1,1,IND-BAT-001,836,656,450,387,63,MACHINE_FAULT,28,8,7,0.0
239,2023-02-21,2,1,IND-BAT-001,836,723,450,390,60,MATERIAL_SHORTAGE_INTERNAL,28,8,6,0.0
240,2023-02-21,1,2,OUT-FLD-001,425,412,450,448,2,,55,6,5,0.0
241,2023-02-21,2,2,OUT-FLD-001,425,352,450,407,43,SCHEDULE_CHANGE_MGMT,55,6,5,2.2
242,2023-02-21,1,3,IND-WGL-001,668,618,450,421,29,,35,5,4,4.7
243,2023-02-21,2,3,IND-WGL-001,668,603,450,424,26,,35,5,4,0.0
244,2023-02-22,1,1,IND-BLB-001,1950,1486,450,378,72,CHANGEOVER,12,8,6,0.0
245,2023-02-22,2,1,IND-BLB-001,1950,1642,450,389,61,MATERIAL_SHORTAGE_INTERNAL,12,8,6,2.3
246,2023-02-22,1,2,OUT-FLD-001,425,430,450,439,11,,55,6,5,3.7
247,2023-02-22,2,2,OUT-STR-001,325,244,450,395,55,CHANGEOVER,72,6,5,0.0
248,2023-02-22,1,3,IND-WGL-001,668,430,450,311,139,PCB_SHORTAGE_SUPPLIER,35,5,4,4.4
249,2023-02-22,2,3,IND-WGL-001,668,611,450,435,15,,35,5,4,1.6
250,2023-02-23,1,1,IND-BLB-001,1950,1563,450,380,70,MANPOWER_SHORT,12,8,7,1.9
251,2023-02-23,2,1,IND-BLB-001,1950,1655,450,432,18,,12,8,7,0.0
252,2023-02-23,1,2,OUT-STR-001,325,260,450,380,70,MATERIAL_SHORTAGE_INTERNAL,72,6,4,5.6
253,2023-02-23,2,2,OUT-STR-001,325,277,450,398,52,MATERIAL_SHORTAGE_INTERNAL,72,6,5,2.8
254,2023-02-23,1,3,IND-WGL-001,668,581,450,418,32,,35,5,4,0.0
255,2023-02-23,2,3,IND-WGL-001,668,533,450,384,66,MANPOWER_SHORT,35,5,4,4.4
256,2023-02-24,1,1,IND-BLB-001,1950,1918,450,443,7,,12,8,7,0.8
257,2023-02-24,2,1,IND-BLB-001,1950,1514,450,361,89,MANPOWER_SHORT,12,8,7,3.1
258,2023-02-24,1,2,OUT-FLD-001,425,334,450,375,75,CHANGEOVER,55,6,5,0.0
259,2023-02-24,2,2,OUT-FLD-001,425,353,450,379,71,MATERIAL_SHORTAGE_INTERNAL,55,6,5,0.0
260,2023-02-24,1,3,OUT-STR-001,325,218,450,308,142,CHANGEOVER,72,5,4,0.0
261,2023-02-24,2,3,OUT-STR-001,325,209,450,301,149,MANPOWER_SHORT,72,5,4,0.0
262,2023-02-25,1,1,IND-BLB-001,1950,1950,450,434,16,,12,8,6,3.8
263,2023-02-25,1,2,OUT-FLD-001,425,397,450,425,25,,55,6,5,1.0
264,2023-02-25,1,3,OUT-STR-001,325,275,450,398,52,MANPOWER_SHORT,72,5,4,2.4
